                PRELIMINARY PRICES AS OF 04/11/19 03:45 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----    -.0250  -.0050                 -.0200
MAY19      ----      ----      ----      ----    -.0075  -.0025                 -.0050
JUN19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
AUG19      ----      ----      ----      ----    -.0025  +.0025                 -.0050
SEP19      ----      ----      ----      ----     .0025    UNCH                  .0025
OCT19      ----      ----      ----      ----     .0000  -.0025                  .0025
NOV19      ----      ----      ----      ----     .0000    UNCH                  .0000
DEC19      ----      ----      ----      ----     .0000    UNCH                  .0000
JAN20      ----      ----      ----      ----    -.0075    UNCH                 -.0075
FEB20      ----      ----      ----      ----    -.0075    UNCH                 -.0075
2CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----    -.0325  -.0075                 -.0250
MAY19      ----      ----      ----      ----    -.0175  -.0025                 -.0150
JUN19      ----      ----      ----      ----    -.0150    UNCH                 -.0150
JLY19      ----      ----      ----      ----    -.0075  +.0025                 -.0100
AUG19      ----      ----      ----      ----     .0000  +.0025                 -.0025
SEP19      ----      ----      ----      ----     .0025  -.0025                  .0050
OCT19      ----      ----      ----      ----     .0000  -.0025                  .0025
NOV19      ----      ----      ----      ----     .0000    UNCH                  .0000
DEC19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JAN20      ----      ----      ----      ----    -.0150    UNCH                 -.0150
2RB RBOB TAM SYNTHETIC LONDON FUTURE
MAY19      ----      ----      ----      ----    2.0341  -.0156                 2.0497
JUN19      ----      ----      ----      ----    2.0050  -.0062                 2.0112
JLY19      ----      ----      ----      ----    1.9802  -.0025                 1.9827
3A WTI OIL CS12SYNTHT
MAY19      ----      ----      ----      ----      2.48    -.62                   3.10
JUN19      ----      ----      ----      ----      2.88    -.60                   3.48
JLY19      ----      ----      ----      ----      3.30    -.58                   3.88
AUG19      ----      ----      ----      ----      3.59    -.54                   4.13
SEP19      ----      ----      ----      ----      3.79    -.48                   4.27
OCT19      ----      ----      ----      ----      3.88    -.43                   4.31
NOV19      ----      ----      ----      ----      3.88    -.39                   4.27
DEC19      ----      ----      ----      ----      3.82    -.36                   4.18
JAN20      ----      ----      ----      ----      3.80    -.32                   4.12
FEB20      ----      ----      ----      ----      3.76    -.27                   4.03
MAR20      ----      ----      ----      ----      3.67    -.26                   3.93
APR20      ----      ----      ----      ----      3.57    -.23                   3.80
MAY20      ----      ----      ----      ----      3.47    -.21                   3.68
JUN20      ----      ----      ----      ----      3.37    -.21                   3.58
SEP20      ----      ----      ----      ----      3.07    -.18                   3.25
DEC20      ----      ----      ----      ----      2.80    -.14                   2.94
MAR21      ----      ----      ----      ----      2.51    -.13                   2.64
JUN21      ----      ----      ----      ----      2.27    -.08                   2.35
SEP21      ----      ----      ----      ----      1.93    -.08                   2.01
DEC21      ----      ----      ----      ----      1.69    -.10                   1.79
MAR22      ----      ----      ----      ----      1.36    -.08                   1.44
3CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----    -.0425  -.0075                 -.0350
MAY19      ----      ----      ----      ----    -.0225  -.0025                 -.0200
JUN19      ----      ----      ----      ----    -.0175  +.0025                 -.0200
JLY19      ----      ----      ----      ----    -.0050  +.0025                 -.0075
AUG19      ----      ----      ----      ----     .0000    UNCH                  .0000
SEP19      ----      ----      ----      ----     .0025  -.0025                  .0050
OCT19      ----      ----      ----      ----     .0000  -.0025                  .0025
NOV19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
DEC19      ----      ----      ----      ----    -.0150    UNCH                 -.0150
4A WTI OIL CS6 SYNTHT
MAY19      ----      ----      ----      ----       .45    -.36                    .81
JUN19      ----      ----      ----      ----       .83    -.36                   1.19
JLY19      ----      ----      ----      ----      1.22    -.36                   1.58
AUG19      ----      ----      ----      ----      1.52    -.36                   1.88
SEP19      ----      ----      ----      ----      1.78    -.31                   2.09
OCT19      ----      ----      ----      ----      1.94    -.28                   2.22
NOV19      ----      ----      ----      ----      2.03    -.26                   2.29
DEC19      ----      ----      ----      ----      2.05    -.24                   2.29
JAN20      ----      ----      ----      ----      2.08    -.22                   2.30
FEB20      ----      ----      ----      ----      2.07    -.18                   2.25
MAR20      ----      ----      ----      ----      2.01    -.17                   2.18
APR20      ----      ----      ----      ----      1.94    -.15                   2.09
MAY20      ----      ----      ----      ----      1.85    -.13                   1.98
JUN20      ----      ----      ----      ----      1.77    -.12                   1.89
DEC20      ----      ----      ----      ----      1.60    -.09                   1.69
JUN21      ----      ----      ----      ----      1.20    -.05                   1.25
DEC21      ----      ----      ----      ----      1.07    -.03                   1.10
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
MAY19      ----      ----      ----      ----    2.0272  -.0347                 2.0619
5A WTI OIL CS3 SYNTHT
MAY19      ----      ----      ----      ----      -.11    -.15                    .04
JUN19      ----      ----      ----      ----       .09    -.18                    .27
JLY19      ----      ----      ----      ----       .35    -.21                    .56
AUG19      ----      ----      ----      ----       .56    -.21                    .77
SEP19      ----      ----      ----      ----       .74    -.18                    .92
OCT19      ----      ----      ----      ----       .87    -.15                   1.02
NOV19      ----      ----      ----      ----       .96    -.15                   1.11
DEC19      ----      ----      ----      ----      1.04    -.13                   1.17
JAN20      ----      ----      ----      ----      1.07    -.13                   1.20
FEB20      ----      ----      ----      ----      1.07    -.11                   1.18
MAR20      ----      ----      ----      ----      1.01    -.11                   1.12
APR20      ----      ----      ----      ----      1.01    -.09                   1.10
MAY20      ----      ----      ----      ----      1.00    -.07                   1.07
6A WTI OIL CS2 SYNTHT
MAY19      ----      ----      ----      ----      -.15    -.09                   -.06
JUN19      ----      ----      ----      ----      -.02    -.10                    .08
JLY19      ----      ----      ----      ----       .15    -.14                    .29
AUG19      ----      ----      ----      ----       .31    -.15                    .46
SEP19      ----      ----      ----      ----       .45    -.13                    .58
OCT19      ----      ----      ----      ----       .54    -.11                    .65
NOV19      ----      ----      ----      ----       .62    -.09                    .71
DEC19      ----      ----      ----      ----       .67    -.10                    .77
JAN20      ----      ----      ----      ----       .71    -.09                    .80
FEB20      ----      ----      ----      ----       .73    -.07                    .80
MAR20      ----      ----      ----      ----       .70    -.08                    .78
APR20      ----      ----      ----      ----       .65    -.07                    .72
MAY20      ----      ----      ----      ----       .67    -.05                    .72
6CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----    -.0475  -.0050                 -.0425
MAY19      ----      ----      ----      ----    -.0225  -.0025                 -.0200
