        FINAL POST-CLEARING PRICES AS OF 09/14/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0525  -.0050                  .0575
NOV17      ----      ----      ----      ----     .0300  -.0050                  .0350
DEC17      ----      ----      ----      ----     .0225  -.0050                  .0275
JAN18      ----      ----      ----      ----    -.0100  -.0025                 -.0075
FEB18      ----      ----      ----      ----    -.0200  -.0025                 -.0175
MAR18      ----      ----      ----      ----    -.0200  -.0025                 -.0175
APR18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
MAY18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JUN18      ----      ----      ----      ----    -.0050  -.0025                 -.0025
JLY18      ----      ----      ----      ----    -.0025  -.0025                  .0000
AUG18      ----      ----      ----      ----    -.0025  -.0025                  .0000
SEP18      ----      ----      ----      ----     .0100    UNCH                  .0100
OCT18      ----      ----      ----      ----     .0100    UNCH                  .0100
NOV18      ----      ----      ----      ----     .0100    UNCH                  .0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0825  -.0100                  .0925
NOV17      ----      ----      ----      ----     .0525  -.0100                  .0625
DEC17      ----      ----      ----      ----     .0125  -.0075                  .0200
JAN18      ----      ----      ----      ----    -.0300  -.0050                 -.0250
FEB18      ----      ----      ----      ----    -.0400  -.0050                 -.0350
MAR18      ----      ----      ----      ----    -.0325  -.0025                 -.0300
APR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY18      ----      ----      ----      ----    -.0100  -.0025                 -.0075
JUN18      ----      ----      ----      ----    -.0075  -.0050                 -.0025
JLY18      ----      ----      ----      ----    -.0050  -.0050                  .0000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
OCT17      ----      ----      ----      ----    1.6417  -.0267                 1.6684
NOV17      ----      ----      ----      ----    1.6049  -.0069                 1.6118
DEC17      ----      ----      ----      ----    1.5763  +.0059                 1.5704
3A WTI OIL CS12SYNTHT
OCT17      ----      ----      ----      ----     -1.36    +.17                  -1.53
NOV17      ----      ----      ----      ----      -.90    +.19                  -1.09
DEC17      ----      ----      ----      ----      -.59    +.17                   -.76
JAN18      ----      ----      ----      ----      -.33    +.16                   -.49
FEB18      ----      ----      ----      ----      -.13    +.16                   -.29
MAR18      ----      ----      ----      ----       .01    +.15                   -.14
APR18      ----      ----      ----      ----       .08    +.14                   -.06
MAY18      ----      ----      ----      ----       .13    +.15                   -.02
JUN18      ----      ----      ----      ----       .14    +.15                   -.01
JLY18      ----      ----      ----      ----       .17    +.16                    .01
AUG18      ----      ----      ----      ----       .18    +.15                    .03
SEP18      ----      ----      ----      ----       .20    +.15                    .05
OCT18      ----      ----      ----      ----       .20    +.15                    .05
NOV18      ----      ----      ----      ----       .18    +.14                    .04
DEC18      ----      ----      ----      ----       .16    +.13                    .03
DEC19      ----      ----      ----      ----      -.13    +.07                   -.20
DEC20      ----      ----      ----      ----      -.44    +.08                   -.52
3CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .1050  -.0150                  .1200
NOV17      ----      ----      ----      ----     .0425  -.0125                  .0550
DEC17      ----      ----      ----      ----    -.0075  -.0100                  .0025
JAN18      ----      ----      ----      ----    -.0500  -.0075                 -.0425
FEB18      ----      ----      ----      ----    -.0525  -.0050                 -.0475
MAR18      ----      ----      ----      ----    -.0375  -.0025                 -.0350
APR18      ----      ----      ----      ----    -.0225  -.0025                 -.0200
MAY18      ----      ----      ----      ----    -.0125  -.0050                 -.0075
JUN18      ----      ----      ----      ----    -.0100  -.0075                 -.0025
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----      -.61    +.09                   -.70
JUN18      ----      ----      ----      ----       .02    +.08                   -.06
DEC18      ----      ----      ----      ----       .12    +.07                    .05
JUN19      ----      ----      ----      ----       .04    +.06                   -.02
DEC19      ----      ----      ----      ----       .02    +.05                   -.03
JUN20      ----      ----      ----      ----      -.15    +.02                   -.17
DEC20      ----      ----      ----      ----      -.14    +.06                   -.20
JUN21      ----      ----      ----      ----      -.30    +.02                   -.32
DEC21      ----      ----      ----      ----      -.31    UNCH                   -.31
JUN22      ----      ----      ----      ----      -.39    UNCH                   -.39
DEC22      ----      ----      ----      ----      -.43    +.04                   -.47
JUN23      ----      ----      ----      ----      -.48    +.03                   -.51
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
OCT17      ----      ----      ----      ----    1.6246  -.0186                 1.6432
5A WTI OIL CS3 SYNTHT
OCT17      ----      ----      ----      ----     -1.00    +.05                  -1.05
