        FINAL POST-CLEARING PRICES AS OF 12/26/18 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC18      ----      ----      ----      ----    -.0100  +.0050                 -.0150
JAN19      ----      ----      ----      ----    -.0350    UNCH                 -.0350
FEB19      ----      ----      ----      ----    -.0225    UNCH                 -.0225
MAR19      ----      ----      ----      ----    -.0225    UNCH                 -.0225
APR19      ----      ----      ----      ----    -.0150    UNCH                 -.0150
MAY19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JUN19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JLY19      ----      ----      ----      ----     .0000    UNCH                  .0000
AUG19      ----      ----      ----      ----     .0000    UNCH                  .0000
SEP19      ----      ----      ----      ----     .0000  -.0025                  .0025
OCT19      ----      ----      ----      ----     .0025    UNCH                  .0025
NOV19      ----      ----      ----      ----     .0025    UNCH                  .0025
2CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC18      ----      ----      ----      ----    -.0450  +.0050                 -.0500
JAN19      ----      ----      ----      ----    -.0575    UNCH                 -.0575
FEB19      ----      ----      ----      ----    -.0450    UNCH                 -.0450
MAR19      ----      ----      ----      ----    -.0375    UNCH                 -.0375
APR19      ----      ----      ----      ----    -.0225    UNCH                 -.0225
MAY19      ----      ----      ----      ----    -.0125    UNCH                 -.0125
JUN19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JLY19      ----      ----      ----      ----     .0000    UNCH                  .0000
AUG19      ----      ----      ----      ----     .0000  -.0025                  .0025
SEP19      ----      ----      ----      ----     .0025  -.0025                  .0050
OCT19      ----      ----      ----      ----     .0050    UNCH                  .0050
2RB RBOB TAM SYNTHETIC LONDON FUTURE
JAN19      ----      ----      ----      ----    1.3216  +.0296                 1.2920
FEB19      ----      ----      ----      ----    1.3090  +.0286                 1.2804
MAR19      ----      ----      ----      ----    1.3189  +.0259                 1.2930
3A WTI OIL CS12SYNTHT
FEB19      ----      ----      ----      ----     -2.83    +.24                  -3.07
MAR19      ----      ----      ----      ----     -2.62    +.32                  -2.94
APR19      ----      ----      ----      ----     -2.38    +.38                  -2.76
MAY19      ----      ----      ----      ----     -2.11    +.42                  -2.53
JUN19      ----      ----      ----      ----     -1.84    +.45                  -2.29
JLY19      ----      ----      ----      ----     -1.60    +.48                  -2.08
AUG19      ----      ----      ----      ----     -1.47    +.48                  -1.95
SEP19      ----      ----      ----      ----     -1.40    +.50                  -1.90
OCT19      ----      ----      ----      ----     -1.37    +.53                  -1.90
NOV19      ----      ----      ----      ----     -1.36    +.53                  -1.89
