                PRELIMINARY PRICES AS OF 01/08/18 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0375
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0325
APR18      ----      ----      ----      ----      ----    UNCH                 -.0225
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0125
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0125
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0050
AUG18      ----      ----      ----      ----      ----    UNCH                  .0025
SEP18      ----      ----      ----      ----      ----    UNCH                  .0100
OCT18      ----      ----      ----      ----      ----    UNCH                  .0100
NOV18      ----      ----      ----      ----      ----    UNCH                  .0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0700
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0550
APR18      ----      ----      ----      ----      ----    UNCH                 -.0350
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0250
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0175
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0025
AUG18      ----      ----      ----      ----      ----    UNCH                  .0125
SEP18      ----      ----      ----      ----      ----    UNCH                  .0200
OCT18      ----      ----      ----      ----      ----    UNCH                  .0200
2RB RBOB TAM SYNTHETIC LONDON FUTURE
FEB18      ----      ----      ----      ----      ----    UNCH                 1.7863
MAR18      ----      ----      ----      ----      ----    UNCH                 1.8078
APR18      ----      ----      ----      ----      ----    UNCH                 1.9950
3A WTI OIL CS12SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                   3.17
MAR18      ----      ----      ----      ----      ----    UNCH                   3.48
APR18      ----      ----      ----      ----      ----    UNCH                   3.69
MAY18      ----      ----      ----      ----      ----    UNCH                   3.84
JUN18      ----      ----      ----      ----      ----    UNCH                   3.88
JLY18      ----      ----      ----      ----      ----    UNCH                   3.87
AUG18      ----      ----      ----      ----      ----    UNCH                   3.80
SEP18      ----      ----      ----      ----      ----    UNCH                   3.70
OCT18      ----      ----      ----      ----      ----    UNCH                   3.57
NOV18      ----      ----      ----      ----      ----    UNCH                   3.42
DEC18      ----      ----      ----      ----      ----    UNCH                   3.26
JAN19      ----      ----      ----      ----      ----    UNCH                   3.15
FEB19      ----      ----      ----      ----      ----    UNCH                   3.02
MAR19      ----      ----      ----      ----      ----    UNCH                   2.88
JUN19      ----      ----      ----      ----      ----    UNCH                   2.59
SEP19      ----      ----      ----      ----      ----    UNCH                   2.28
DEC19      ----      ----      ----      ----      ----    UNCH                   2.15
MAR20      ----      ----      ----      ----      ----    UNCH                   2.02
JUN20      ----      ----      ----      ----      ----    UNCH                   1.72
SEP20      ----      ----      ----      ----      ----    UNCH                   1.45
DEC20      ----      ----      ----      ----      ----    UNCH                   1.29
3CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0925
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0675
APR18      ----      ----      ----      ----      ----    UNCH                 -.0475
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0300
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0150
JLY18      ----      ----      ----      ----      ----    UNCH                  .0075
AUG18      ----      ----      ----      ----      ----    UNCH                  .0225
SEP18      ----      ----      ----      ----      ----    UNCH                  .0300
4A WTI OIL CS6 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                   1.17
MAR18      ----      ----      ----      ----      ----    UNCH                   1.48
APR18      ----      ----      ----      ----      ----    UNCH                   1.72
MAY18      ----      ----      ----      ----      ----    UNCH                   1.91
JUN18      ----      ----      ----      ----      ----    UNCH                   2.00
JLY18      ----      ----      ----      ----      ----    UNCH                   2.01
AUG18      ----      ----      ----      ----      ----    UNCH                   2.00
SEP18      ----      ----      ----      ----      ----    UNCH                   2.00
OCT18      ----      ----      ----      ----      ----    UNCH                   1.97
NOV18      ----      ----      ----      ----      ----    UNCH                   1.93
DEC18      ----      ----      ----      ----      ----    UNCH                   1.88
JAN19      ----      ----      ----      ----      ----    UNCH                   1.86
FEB19      ----      ----      ----      ----      ----    UNCH                   1.80
JUN19      ----      ----      ----      ----      ----    UNCH                   1.38
DEC19      ----      ----      ----      ----      ----    UNCH                   1.21
JUN20      ----      ----      ----      ----      ----    UNCH                    .94
DEC20      ----      ----      ----      ----      ----    UNCH                    .78
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
FEB18      ----      ----      ----      ----      ----    UNCH                 1.7891
5A WTI OIL CS3 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                    .29
MAR18      ----      ----      ----      ----      ----    UNCH                    .48
APR18      ----      ----      ----      ----      ----    UNCH                    .68
MAY18      ----      ----      ----      ----      ----    UNCH                    .88
JUN18      ----      ----      ----      ----      ----    UNCH                   1.00
JLY18      ----      ----      ----      ----      ----    UNCH                   1.04
AUG18      ----      ----      ----      ----      ----    UNCH                   1.03
SEP18      ----      ----      ----      ----      ----    UNCH                   1.00
OCT18      ----      ----      ----      ----      ----    UNCH                    .97
NOV18      ----      ----      ----      ----      ----    UNCH                    .97
DEC18      ----      ----      ----      ----      ----    UNCH                   1.00
JAN19      ----      ----      ----      ----      ----    UNCH                   1.00
6A WTI OIL CS2 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                    .14
MAR18      ----      ----      ----      ----      ----    UNCH                    .26
APR18      ----      ----      ----      ----      ----    UNCH                    .37
MAY18      ----      ----      ----      ----      ----    UNCH                    .53
JUN18      ----      ----      ----      ----      ----    UNCH                    .66
JLY18      ----      ----      ----      ----      ----    UNCH                    .69
AUG18      ----      ----      ----      ----      ----    UNCH                    .69
SEP18      ----      ----      ----      ----      ----    UNCH                    .69
OCT18      ----      ----      ----      ----      ----    UNCH                    .65
NOV18      ----      ----      ----      ----      ----    UNCH                    .63
DEC18      ----      ----      ----      ----      ----    UNCH                    .66
JAN19      ----      ----      ----      ----      ----    UNCH                    .68
6CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB18      ----      ----      ----      ----      ----    UNCH                 -.1225
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0825
APR18      ----      ----      ----      ----      ----    UNCH                 -.0400
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0075
JUN18      ----      ----      ----      ----      ----    UNCH                  .0150
6T In Delivery Month European Union Allowance (EUA) F
DEC18      ----      ----      ----      ----      ----    UNCH                 7.7800                    3698
DEC19      ----      ----      ----      ----      ----    UNCH                 7.8400
