W Wheat Futures
MAR18     422'2     425'6     421'2     424'6     425'2    +3'6       51901      421'4       53024      294922
MAY18     435'0     438'4     434'4     437'6     438'2    +3'6       15074      434'4       14843      103058
JLY18     447'4     451'4     447'4     451'0     451'2    +3'4       10970      447'6       10902       77170
SEP18     461'6     466'0     461'6     465'4A    466'0    +4'0        1988      462'0        1788       29367
DEC18     480'0     485'0     480'0     484'2     484'6    +4'4        3369      480'2        3077       47549
MAR19     494'2     498'2     494'2     498'0A    498'2    +5'0         240      493'2         229        4460
MAY19      ----     504'0B     ----     504'0B    506'6    +5'2           5      501'4          31         159
JLY19     506'2     508'4B    505'2A    508'4B    509'0    +5'6          35      503'2          35         808
SEP19      ----      ----      ----      ----     517'6    +5'2           9      512'4                      51
DEC19      ----      ----      ----      ----     534'2    +5'2          11      529'0           2          40
MAR20      ----      ----      ----      ----     540'6    +8'4           8      532'2                      12
MAY20      ----      ----      ----      ----     540'6    +8'6                  532'0
JLY20      ----      ----      ----      ----     541'6    +9'0                  532'6

WDF MAR18 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     121'2    +3'4                  117'6
3350       ----      ----      ----      ----     116'2    +3'4                  112'6
3400       ----      ----      ----      ----     111'2    +3'4                  107'6
3450       ----      ----      ----      ----     106'2    +3'4                  102'6
3500       ----      ----      ----      ----     101'2    +3'4                   97'6
3550       ----      ----      ----      ----      96'2    +3'4                   92'6
3600       ----      ----      ----      ----      91'2    +3'4                   87'6
3650       ----      ----      ----      ----      86'2    +3'4                   82'6
3700       ----      ----      ----      ----      81'2    +3'4                   77'6
3750       ----      ----      ----      ----      76'2    +3'4                   72'6
3800       ----      ----      ----      ----      71'2    +3'4                   67'6
3850       ----      ----      ----      ----      66'2    +3'4                   62'6
3900       ----      ----      ----      ----      61'2    +3'4                   57'6
3950       ----      ----      ----      ----      56'2    +3'3                   52'7
4000       ----      ----      ----      ----      51'3    +3'3                   48'0
4050       ----      ----      ----      ----      46'3    +3'2                   43'1
4100       ----      ----      ----      ----      41'5    +3'2                   38'3
4150       ----      ----      ----      ----      36'7    +3'1                   33'6
4200       ----      ----      ----      ----      32'2    +3'0                   29'2
4250       ----      ----      ----      ----      27'6    +2'7                   24'7
4300       ----      ----      ----      ----      23'4    +2'5                   20'7
4350       ----      ----      ----      ----      19'5    +2'4                   17'1
4400       ----      ----      ----      ----      16'1    +2'2                   13'7
4450       ----      ----      ----      ----      13'0    +1'7                   11'1
4500       ----      ----      ----      ----      10'4    +1'5                    8'7
4550       ----      ----      ----      ----       8'4    +1'3                    7'1
4600       ----      ----      ----      ----       6'7    +1'1                    5'6
4650       ----      ----      ----      ----       5'4    +1'0                    4'4
4700       ----      ----      ----      ----       4'2     +'6                    3'4                      12
4750       ----      ----      ----      ----       3'3     +'5                    2'6
4800       ----      ----      ----      ----       2'5     +'4                    2'1
4850       ----      ----      ----      ----       2'1     +'3                    1'6
4900       ----      ----      ----      ----       1'6     +'3                    1'3
4950       ----      ----      ----      ----       1'3     +'2                    1'1
5000       ----      ----      ----      ----       1'1     +'2                     '7
5050       ----      ----      ----      ----        '7     +'1                     '6
5100       ----      ----      ----      ----        '6     +'2                     '4                       5
5150       ----      ----      ----      ----        '5     +'2                     '3
5200       ----      ----      ----      ----        '4     +'1                     '3
5250       ----      ----      ----      ----        '3     +'1                     '2
5300       ----      ----      ----      ----        '2     +'1                     '1
5350       ----      ----      ----      ----        '2     +'1                     '1
5400       ----      ----      ----      ----        '2     +'1                     '1                       2
5450       ----      ----      ----      ----        '1    UNCH                     '1
5500       ----      ----      ----      ----        '1    UNCH                     '1                       2
5550       ----      ----      ----      ----        '1    UNCH                     '1
5600       ----      ----      ----      ----        '1    UNCH                     '1
5650       ----      ----      ----      ----        '1    UNCH                     '1
5700       ----      ----      ----      ----        '1    UNCH                     '1                       1
5750       ----      ----      ----      ----        '1    UNCH                     '1
5800       ----      ----      ----      ----        '1    UNCH                     '1                       1
5850       ----      ----      ----      ----        '1    UNCH                     '1
5900       ----      ----      ----      ----        '1    UNCH                     '1
5950       ----      ----      ----      ----        '1    UNCH                     '1                       2
6000       ----      ----      ----      ----        '1    UNCH                     '1
6050       ----      ----      ----      ----        '1    UNCH                     '1
6100       ----      ----      ----      ----        '1    UNCH                     '1
6150       ----      ----      ----      ----        '1    UNCH                     '1
6200       ----      ----      ----      ----        '1    UNCH                     '1
6250       ----      ----      ----      ----        '1    UNCH                     '1
6300       ----      ----      ----      ----        '1    UNCH                     '1
6350       ----      ----      ----      ----        '1    UNCH                     '1
6400       ----      ----      ----      ----        '1    UNCH                     '1
6450       ----      ----      ----      ----        '1    UNCH                     '1
6500       ----      ----      ----      ----        '1    UNCH                     '1
6550       ----      ----      ----      ----        '1    UNCH                     '1
6600       ----      ----      ----      ----        '1    UNCH                     '1
6650       ----      ----      ----      ----        '1    UNCH                     '1
6700       ----      ----      ----      ----        '1    UNCH                     '1
6750       ----      ----      ----      ----        '1    UNCH                     '1
6800       ----      ----      ----      ----        '1    UNCH                     '1
6850       ----      ----      ----      ----        '1    UNCH                     '1
6900       ----      ----      ----      ----        '1    UNCH                     '1
6950       ----      ----      ----      ----        '1    UNCH                     '1
7000       ----      ----      ----      ----        '1    UNCH                     '1
7050       ----      ----      ----      ----        '1    UNCH                     '1
7100       ----      ----      ----      ----        '1    UNCH                     '1
7150       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7250       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1
7350       ----      ----      ----      ----        '1    UNCH                     '1
7400       ----      ----      ----      ----        '1    UNCH                     '1
7450       ----      ----      ----      ----        '1    UNCH                     '1
7500       ----      ----      ----      ----        '1    UNCH                     '1
7550       ----      ----      ----      ----        '1    UNCH                     '1
WDF MAY18 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     121'2    +3'4                  117'6
