W Wheat Futures
SEP17     504'4     508'2     495'0     507'0     505'6    +2'6       65783      503'0       71108      199071
DEC17     528'2     531'4     518'6     530'4     529'2    +2'4       29922      526'6       29023      131313
MAR18     548'0     550'4     538'4     550'4     549'4    +3'0       10242      546'4        9638       51382
MAY18     558'0     560'6B    549'2     560'6B    560'0    +3'0        1834      557'0        2150       16397
JLY18     562'2     565'2B    554'2     565'2B    564'2    +2'4        3340      561'6        3508       26934
SEP18     569'0     573'6B    563'6A    573'6B    572'6    +2'4          93      570'2         186        2190
DEC18     583'2     586'6B    577'0     586'6B    585'4    +2'2         345      583'2         720        8581
MAR19      ----     590'2B     ----     590'2B    593'0    +3'0          19      590'0          15         861
MAY19      ----      ----      ----      ----     590'4    +3'0                  587'4           8          34
JLY19     578'4     580'2B    578'4     580'2B    584'6    +6'0          12      578'6          17         284
SEP19      ----      ----      ----      ----     584'6    +6'0                  578'6
DEC19      ----      ----      ----      ----     590'0    +7'6                  582'2
MAR20      ----      ----      ----      ----     590'0    +7'6                  582'2
MAY20      ----      ----      ----      ----     590'0    +7'6                  582'2
JLY20      ----      ----      ----      ----     590'0    +7'6                  582'2

WDF DEC17 Short-Dated New Crop Wheat Option CALL
3600       ----      ----      ----      ----     204'2    +2'4                  201'6
3650       ----      ----      ----      ----     199'2    +2'4                  196'6
3700       ----      ----      ----      ----     194'2    +2'4                  191'6
3750       ----      ----      ----      ----     189'2    +2'4                  186'6
3800       ----      ----      ----      ----     184'2    +2'4                  181'6
3850       ----      ----      ----      ----     179'2    +2'4                  176'6
3900       ----      ----      ----      ----     174'2    +2'4                  171'6
3950       ----      ----      ----      ----     169'2    +2'4                  166'6
4000       ----      ----      ----      ----     164'2    +2'4                  161'6
4050       ----      ----      ----      ----     159'2    +2'4                  156'6
4100       ----      ----      ----      ----     154'2    +2'4                  151'6
4150       ----      ----      ----      ----     149'2    +2'4                  146'6
4200       ----      ----      ----      ----     144'2    +2'4                  141'6
4250       ----      ----      ----      ----     139'2    +2'4                  136'6
4300       ----      ----      ----      ----     134'2    +2'4                  131'6
4350       ----      ----      ----      ----     129'2    +2'4                  126'6
4400       ----      ----      ----      ----     124'2    +2'4                  121'6
4450       ----      ----      ----      ----     119'2    +2'4                  116'6
4500       ----      ----      ----      ----     114'2    +2'4                  111'6
4550       ----      ----      ----      ----     109'2    +2'3                  106'7
4600       ----      ----      ----      ----     104'3    +2'3                  102'0
4650       ----      ----      ----      ----      99'4    +2'3                   97'1
4700       ----      ----      ----      ----      94'6    +2'3                   92'3
4750       ----      ----      ----      ----      90'0    +2'2                   87'6
4800       ----      ----      ----      ----      85'4    +2'2                   83'2
4850       ----      ----      ----      ----      81'1    +2'1                   79'0
4900       ----      ----      ----      ----      76'7    +2'0                   74'7
