C Corn Futures
DEC16     339'0     341'0     338'0     339'6     340'0     -'4       91916      340'4      127944      760102
MAR17     349'4     350'6     348'0     349'0     350'0     -'6       23226      350'6       24395      240704
MAY17     356'4     358'0     355'2     356'4     357'0    -1'0        6046      358'0        6827       62727
JLY17     362'6     364'2     361'6     363'0     363'6     -'4        6145      364'2        6019      112344
SEP17     369'6     371'0     368'4     369'4A    370'0     -'6         777      370'6         828       41122
DEC17     379'2     380'0     378'0     378'6     379'4     -'6        2145      380'2        2788       70797
MAR18     389'6     390'0     388'0A    389'0A    389'2    -1'0           8      390'2         157        4987
MAY18     393'4     393'4     393'4     393'4     394'6     -'6           1      395'4           8        1054
JLY18     397'2     398'2B    397'0     398'2B    398'2    -1'0           8      399'2          13        1370
SEP18      ----      ----      ----      ----     397'4    -1'0           2      398'4                     493
DEC18     399'4     400'0     398'0A    400'0     399'6     -'2          85      400'0         219        4080
JLY19     413'0     413'0     413'0     413'0     415'4    UNCH           1      415'4                      44
DEC19     405'0     405'0     402'6     402'6     406'2    UNCH           4      406'2          16         122

CDF JAN17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     109'4     -'6                  110'2
2750       ----      ----      ----      ----     104'4     -'6                  105'2
2800       ----      ----      ----      ----      99'4     -'6                  100'2
2850       ----      ----      ----      ----      94'4     -'6                   95'2
2900       ----      ----      ----      ----      89'4     -'6                   90'2
2950       ----      ----      ----      ----      84'4     -'6                   85'2
3000       ----      ----      ----      ----      79'4     -'6                   80'2
3050       ----      ----      ----      ----      74'4     -'6                   75'2
3100       ----      ----      ----      ----      69'4     -'6                   70'2
3150       ----      ----      ----      ----      64'5     -'6                   65'3
3200       ----      ----      ----      ----      59'6     -'6                   60'4
3250       ----      ----      ----      ----      54'7     -'6                   55'5
3300       ----      ----      ----      ----      50'1     -'5                   50'6
3350       ----      ----      ----      ----      45'3     -'6                   46'1
3400       ----      ----      ----      ----      40'7     -'5                   41'4
3450       ----      ----      ----      ----      36'3     -'5                   37'0
3500       ----      ----      ----      ----      32'2     -'4                   32'6
3550       ----      ----      ----      ----      28'2     -'4                   28'6
3600       ----      ----      ----      ----      24'4     -'4                   25'0
3650       ----      ----      ----      ----      21'0     -'4                   21'4
3700       ----      ----      ----      ----      17'6     -'4                   18'2
3750       ----      ----      ----      ----      14'7     -'4                   15'3
3800       ----      ----      ----      ----      12'2     -'4                   12'6                      30
3850        9'4       9'4       9'4       9'4      10'0     -'3          50       10'3
3900       ----      ----      ----      ----       8'0     -'3                    8'3                     200
3950       ----      ----      ----      ----       6'3     -'3                    6'6
4000        5'2       5'2       5'2      ----       5'1     -'2           4        5'3           2         547
4050       ----      ----      ----      ----       4'1     -'1                    4'2
4100       ----      ----      ----      ----       3'2     -'1                    3'3
4150       ----      ----      ----      ----       2'5     -'1                    2'6
4200       ----      ----      ----      ----       2'1     -'1                    2'2                      74
4250       ----      ----      ----      ----       1'6     -'1                    1'7
4300       ----      ----      ----      ----       1'4     -'1                    1'5
4350       ----      ----      ----      ----       1'2     -'1                    1'3
4400       ----      ----      ----      ----       1'0     -'1                    1'1
4450       ----      ----      ----      ----        '7     -'1                    1'0
4500       ----      ----      ----      ----        '6     -'1                     '7
4550       ----      ----      ----      ----        '5     -'1                     '6
4600       ----      ----      ----      ----        '4     -'1                     '5
4650       ----      ----      ----      ----        '4    UNCH                     '4
4700       ----      ----      ----      ----        '3     -'1                     '4
4750       ----      ----      ----      ----        '3    UNCH                     '3
4800       ----      ----      ----      ----        '3    UNCH                     '3
4850       ----      ----      ----      ----        '2     -'1                     '3
4900       ----      ----      ----      ----        '2    UNCH                     '2
4950       ----      ----      ----      ----        '2    UNCH                     '2
5000       ----      ----      ----      ----        '2    UNCH                     '2
5050       ----      ----      ----      ----        '1     -'1                     '2
5100       ----      ----      ----      ----        '1    UNCH                     '1
5150       ----      ----      ----      ----        '1    UNCH                     '1
5200       ----      ----      ----      ----        '1    UNCH                     '1
5250       ----      ----      ----      ----        '1    UNCH                     '1
CDF FEB17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     109'4     -'6                  110'2
2750       ----      ----      ----      ----     104'4     -'6                  105'2
2800       ----      ----      ----      ----      99'5     -'5                  100'2
2850       ----      ----      ----      ----      94'5     -'6                   95'3
2900       ----      ----      ----      ----      89'6     -'6                   90'4
2950       ----      ----      ----      ----      84'7     -'5                   85'4
3000       ----      ----      ----      ----      80'0     -'5                   80'5
3050       ----      ----      ----      ----      75'1     -'5                   75'6
3100       ----      ----      ----      ----      70'2     -'6                   71'0
3150       ----      ----      ----      ----      65'4     -'6                   66'2
3200       ----      ----      ----      ----      60'6     -'6                   61'4
3250       ----      ----      ----      ----      56'1     -'5                   56'6
3300       ----      ----      ----      ----      51'4     -'5                   52'1
3350       ----      ----      ----      ----      47'0     -'5                   47'5
3400       ----      ----      ----      ----      42'5     -'5                   43'2
3450       ----      ----      ----      ----      38'3     -'5                   39'0
3500       ----      ----      ----      ----      34'2     -'5                   34'7
3550       ----      ----      ----      ----      30'2     -'5                   30'7
3600       ----      ----      ----      ----      26'6     -'4                   27'2
3650       ----      ----      ----      ----      23'2     -'4                   23'6
3700       ----      ----      ----      ----      20'0     -'4                   20'4
3750       ----      ----      ----      ----      17'1     -'4                   17'5
3800       ----      ----      ----      ----      14'5     -'4                   15'1                     200
3850       ----      ----      ----      ----      12'4     -'3                   12'7
3900       ----      ----      ----      ----      10'5     -'3                   11'0
3950       ----      ----      ----      ----       9'0     -'4                    9'4
4000       ----      ----      ----      ----       7'6     -'3                    8'1
4050       ----      ----      ----      ----       6'5     -'3                    7'0
4100       ----      ----      ----      ----       5'6     -'2                    6'0
4150       ----      ----      ----      ----       5'0     -'1                    5'1
4200       ----      ----      ----      ----       4'3    UNCH                    4'3
4250       ----      ----      ----      ----       3'6     -'1                    3'7
4300       ----      ----      ----      ----       3'2     -'1                    3'3
4350       ----      ----      ----      ----       2'7    UNCH                    2'7
4400       ----      ----      ----      ----       2'4    UNCH                    2'4                       2
4450       ----      ----      ----      ----       2'2    UNCH                    2'2
4500       ----      ----      ----      ----       2'0    UNCH                    2'0
4550       ----      ----      ----      ----       1'6    UNCH                    1'6
4600       ----      ----      ----      ----       1'5    UNCH                    1'5
4650       ----      ----      ----      ----       1'4    UNCH                    1'4
4700       ----      ----      ----      ----       1'3    UNCH                    1'3
4750       ----      ----      ----      ----       1'2    UNCH                    1'2
4800       ----      ----      ----      ----       1'1    UNCH                    1'1
4850       ----      ----      ----      ----       1'0    UNCH                    1'0
4900       ----      ----      ----      ----       1'0    UNCH                    1'0
4950       ----      ----      ----      ----        '7    UNCH                     '7
5000       ----      ----      ----      ----        '7    UNCH                     '7
5050       ----      ----      ----      ----        '6    UNCH                     '6
5100       ----      ----      ----      ----        '6    UNCH                     '6
5150       ----      ----      ----      ----        '6    UNCH                     '6
5200       ----      ----      ----      ----        '5    UNCH                     '5
5250       ----      ----      ----      ----        '5    UNCH                     '5
CDF MAR17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     109'5     -'6                  110'3
2750       ----      ----      ----      ----     104'5     -'6                  105'3
2800       ----      ----      ----      ----      99'5     -'6                  100'3
2850       ----      ----      ----      ----      94'6     -'5                   95'3
2900       ----      ----      ----      ----      89'6     -'6                   90'4
2950       ----      ----      ----      ----      84'7     -'6                   85'5
3000       ----      ----      ----      ----      80'0     -'6                   80'6
3050       ----      ----      ----      ----      75'2     -'5                   75'7
3100       ----      ----      ----      ----      70'4     -'5                   71'1
3150       ----      ----      ----      ----      65'7     -'5                   66'4
3200       ----      ----      ----      ----      61'1     -'5                   61'6
3250       ----      ----      ----      ----      56'4     -'5                   57'1
3300       ----      ----      ----      ----      52'0     -'5                   52'5
3350       ----      ----      ----      ----      47'5     -'4                   48'1
3400       ----      ----      ----      ----      43'2     -'5                   43'7
3450       ----      ----      ----      ----      39'1     -'5                   39'6
3500       ----      ----      ----      ----      35'1     -'5                   35'6
3550       ----      ----      ----      ----      31'2     -'6                   32'0
3600       ----      ----      ----      ----      27'6     -'5                   28'3
3650       ----      ----      ----      ----      24'5     -'5                   25'2
3700       ----      ----      ----      ----      21'6     -'4                   22'2                      23
3750       ----      ----      ----      ----      19'0     -'5                   19'5                       8
3800       ----      ----      ----      ----      16'5     -'4                   17'1                      42
3850       ----      ----      ----      ----      14'4     -'3                   14'7
3900       ----      ----      ----      ----      12'4     -'4                   13'0                      25
3950       ----      ----      ----      ----      10'7     -'3                   11'2
4000       ----      ----      ----      ----       9'3     -'3                    9'6           1         997
4050       ----      ----      ----      ----       8'1     -'2                    8'3
4100       ----      ----       7'2A      7'2A      7'0     -'3                    7'3                     130
4150       ----      ----      ----      ----       6'1     -'2                    6'3                      11
4200       ----      ----      ----      ----       5'3     -'2                    5'5                      20
4250       ----      ----      ----      ----       4'6     -'2                    5'0                     135
4300       ----      ----      ----      ----       4'2     -'2                    4'4                       8
4350       ----      ----      ----      ----       3'7     -'1                    4'0
4400       ----      ----      ----      ----       3'4     -'1                    3'5                     500
4450       ----      ----      ----      ----       3'1     -'1                    3'2
4500       ----      ----      ----      ----       2'7     -'1                    3'0                     100
4550       ----      ----      ----      ----       2'5     -'1                    2'6
4600       ----      ----      ----      ----       2'3     -'1                    2'4                       2
4650       ----      ----      ----      ----       2'1     -'1                    2'2
4700       ----      ----      ----      ----       2'0     -'1                    2'1
4750       ----      ----      ----      ----       1'7     -'1                    2'0
4800       ----      ----      ----      ----       1'6     -'1                    1'7
4850       ----      ----      ----      ----       1'5     -'1                    1'6
4900       ----      ----      ----      ----       1'4     -'1                    1'5
4950       ----      ----      ----      ----       1'3     -'1                    1'4
5000       ----      ----      ----      ----       1'3    UNCH                    1'3
5050       ----      ----      ----      ----       1'2    UNCH                    1'2
5100       ----      ----      ----      ----       1'1     -'1                    1'2
5150       ----      ----      ----      ----       1'1    UNCH                    1'1
5200       ----      ----      ----      ----       1'0     -'1                    1'1
5250       ----      ----      ----      ----       1'0    UNCH                    1'0
CDF APR17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     109'5     -'6                  110'3
2750       ----      ----      ----      ----     104'6     -'6                  105'4
2800       ----      ----      ----      ----      99'6     -'6                  100'4
2850       ----      ----      ----      ----      94'7     -'6                   95'5
2900       ----      ----      ----      ----      90'0     -'6                   90'6
2950       ----      ----      ----      ----      85'1     -'6                   85'7
3000       ----      ----      ----      ----      80'3     -'6                   81'1
3050       ----      ----      ----      ----      75'5     -'6                   76'3
3100       ----      ----      ----      ----      70'7     -'6                   71'5
3150       ----      ----      ----      ----      66'1     -'6                   66'7
3200       ----      ----      ----      ----      61'3     -'6                   62'1
3250       ----      ----      ----      ----      56'6     -'6                   57'4
3300       ----      ----      ----      ----      52'2     -'5                   52'7
3350       ----      ----      ----      ----      47'6     -'5                   48'3
3400       ----      ----      ----      ----      43'3     -'6                   44'1
3450       ----      ----      ----      ----      39'2     -'5                   39'7
3500       ----      ----      ----      ----      35'3     -'4                   35'7
3550       ----      ----      ----      ----      31'5     -'5                   32'2
3600       ----      ----      ----      ----      28'2     -'5                   28'7
3650       ----      ----      ----      ----      25'3     -'4                   25'7
3700       ----      ----      ----      ----      22'5     -'4                   23'1
3750       ----      ----      ----      ----      20'1     -'4                   20'5
3800       ----      ----      ----      ----      17'7     -'4                   18'3
3850       ----      ----      ----      ----      15'7     -'4                   16'3
3900       ----      ----      ----      ----      14'1     -'4                   14'5
3950       ----      ----      ----      ----      12'4     -'4                   13'0
4000       ----      ----      ----      ----      11'1     -'3                   11'4
4050       ----      ----      ----      ----       9'7     -'3                   10'2
4100       ----      ----      ----      ----       8'5     -'3                    9'0
4150       ----      ----       7'6A     ----       7'5     -'3                    8'0
4200       ----      ----       6'7A     ----       6'6     -'2                    7'0
4250       ----      ----       6'1A     ----       6'0     -'2                    6'2
4300       ----      ----      ----      ----       5'2     -'2                    5'4
4350       ----      ----      ----      ----       4'5     -'2                    4'7
4400       ----      ----      ----      ----       4'1     -'2                    4'3
4450       ----      ----      ----      ----       3'6     -'1                    3'7
4500       ----      ----      ----      ----       3'3     -'1                    3'4
4550       ----      ----      ----      ----       3'0     -'1                    3'1
4600       ----      ----      ----      ----       2'6     -'1                    2'7
4650       ----      ----      ----      ----       2'4     -'1                    2'5
4700       ----      ----      ----      ----       2'2     -'1                    2'3
4750       ----      ----      ----      ----       2'0     -'1                    2'1
4800       ----      ----      ----      ----       1'7    UNCH                    1'7
4850       ----      ----      ----      ----       1'6    UNCH                    1'6
4900       ----      ----      ----      ----       1'5    UNCH                    1'5
4950       ----      ----      ----      ----       1'4    UNCH                    1'4
5000       ----      ----      ----      ----       1'3    UNCH                    1'3
5050       ----      ----      ----      ----       1'2    UNCH                    1'2
5100       ----      ----      ----      ----       1'2    UNCH                    1'2
5150       ----      ----      ----      ----       1'1    UNCH                    1'1
5200       ----      ----      ----      ----       1'0     -'1                    1'1
5250       ----      ----      ----      ----       1'0    UNCH                    1'0
CDF MAY17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     109'6     -'6                  110'4
2750       ----      ----      ----      ----     104'7     -'6                  105'5
2800       ----      ----      ----      ----     100'0     -'6                  100'6
2850       ----      ----      ----      ----      95'1     -'6                   95'7
2900       ----      ----      ----      ----      90'2     -'6                   91'0
2950       ----      ----      ----      ----      85'4     -'6                   86'2
3000       ----      ----      ----      ----      80'6     -'6                   81'4
3050       ----      ----      ----      ----      76'0     -'6                   76'6
3100       ----      ----      ----      ----      71'3     -'5                   72'0
3150       ----      ----      ----      ----      66'6     -'5                   67'3
3200       ----      ----      ----      ----      62'2     -'5                   62'7
3250       ----      ----      ----      ----      57'6     -'6                   58'4
3300       ----      ----      ----      ----      53'4     -'5                   54'1
3350       ----      ----      ----      ----      49'2     -'5                   49'7
3400       ----      ----      ----      ----      45'2     -'5                   45'7
3450       ----      ----      ----      ----      41'3     -'5                   42'0
3500       ----      ----      ----      ----      37'5     -'5                   38'2
3550       ----      ----      ----      ----      34'0     -'4                   34'4
3600       ----      ----      ----      ----      30'5     -'4                   31'1
3650       ----      ----      ----      ----      27'4     -'4                   28'0
3700       ----      ----      ----      ----      24'5     -'5                   25'2
3750       ----      ----      ----      ----      22'0     -'4                   22'4
3800       ----      ----      ----      ----      19'5     -'4                   20'1
3850       ----      ----      ----      ----      17'4     -'4                   18'0
3900       ----      ----      ----      ----      15'5     -'4                   16'1
3950       ----      ----      ----      ----      14'0     -'4                   14'4
4000       11'4      11'4      11'4      11'4      12'5     -'3         150       13'0           3           3
4050       ----      ----      ----      ----      11'3     -'3                   11'6
4100       ----      ----      ----      ----      10'2     -'3                   10'5
4150       ----      ----      ----      ----       9'3     -'3                    9'6
4200       ----      ----      ----      ----       8'4     -'3                    8'7
4250       ----      ----       7'5A     ----       7'6     -'2                    8'0
