C Corn Futures
DEC16     339'2     341'4     334'6     336'2     336'6    -3'2      112766      340'0      101255      754124
MAR17     349'2     351'2     345'0     346'2     346'6    -3'2       19949      350'0       24798      241032
MAY17     356'4     358'2     352'0     353'2     354'0    -3'0        8241      357'0        6794       63882
JLY17     363'0     364'6     359'0     360'0     360'6    -3'0        7961      363'6        6145      112049
SEP17     371'0     371'2B    365'6     367'0     367'2    -2'6        1333      370'0         777       41150
DEC17     379'2     380'6     374'6     376'2     376'4    -3'0        6086      379'4        2145       70894
MAR18     390'0     390'2B    385'0     386'2B    386'4    -2'6          67      389'2           8        4989
MAY18     394'6     394'6     393'0A    393'0A    392'0    -2'6           2      394'6           1        1054
JLY18     398'2     398'2     395'0     395'2B    395'6    -2'4          31      398'2           8        1372
SEP18      ----      ----      ----      ----     395'0    -2'4           6      397'4           2         492
DEC18     400'0     400'2B    395'2     396'4B    396'6    -3'0          65      399'6          85        4134
JLY19      ----      ----      ----      ----     412'4    -3'0                  415'4           1          45
DEC19      ----      ----      ----      ----     403'2    -3'0                  406'2           4         121

CDF JAN17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     106'4    -3'0                  109'4
2750       ----      ----      ----      ----     101'4    -3'0                  104'4
2800       ----      ----      ----      ----      96'4    -3'0                   99'4
2850       ----      ----      ----      ----      91'4    -3'0                   94'4
2900       ----      ----      ----      ----      86'4    -3'0                   89'4
2950       ----      ----      ----      ----      81'4    -3'0                   84'4
3000       ----      ----      ----      ----      76'4    -3'0                   79'4
3050       ----      ----      ----      ----      71'5    -2'7                   74'4
3100       ----      ----      ----      ----      66'5    -2'7                   69'4
3150       ----      ----      ----      ----      61'6    -2'7                   64'5
3200       ----      ----      ----      ----      56'7    -2'7                   59'6
3250       ----      ----      ----      ----      52'0    -2'7                   54'7
3300       ----      ----      ----      ----      47'2    -2'7                   50'1
3350       ----      ----      ----      ----      42'5    -2'6                   45'3
3400       ----      ----      ----      ----      38'1    -2'6                   40'7
3450       ----      ----      ----      ----      33'6    -2'5                   36'3
3500       ----      ----      ----      ----      29'6    -2'4                   32'2
3550       ----      ----      ----      ----      25'7    -2'3                   28'2
3600       ----      ----      ----      ----      22'2    -2'2                   24'4
3650       ----      ----      ----      ----      18'7    -2'1                   21'0
3700       ----      ----      ----      ----      15'7    -1'7                   17'6
3750       ----      ----      ----      ----      13'1    -1'6                   14'7
3800       ----      ----      12'0A     ----      10'6    -1'4                   12'2                      30
3850       ----      ----       9'4A     ----       8'5    -1'3                   10'0           2           2
3900       ----      ----      ----      ----       6'7    -1'1                    8'0                     200
3950       ----      ----      ----      ----       5'3    -1'0                    6'3
4000       ----      ----      ----      ----       4'2     -'7                    5'1           4         551
4050       ----      ----      ----      ----       3'3     -'6                    4'1
4100       ----      ----      ----      ----       2'6     -'4                    3'2
4150       ----      ----      ----      ----       2'1     -'4                    2'5
4200       ----      ----      ----      ----       1'6     -'3                    2'1                      74
4250       ----      ----      ----      ----       1'4     -'2                    1'6
4300       ----      ----      ----      ----       1'2     -'2                    1'4
4350       ----      ----      ----      ----       1'0     -'2                    1'2
4400       ----      ----      ----      ----        '7     -'1                    1'0
4450       ----      ----      ----      ----        '6     -'1                     '7
4500       ----      ----      ----      ----        '5     -'1                     '6
4550       ----      ----      ----      ----        '5    UNCH                     '5
4600       ----      ----      ----      ----        '4    UNCH                     '4
4650       ----      ----      ----      ----        '3     -'1                     '4
4700       ----      ----      ----      ----        '3    UNCH                     '3
4750       ----      ----      ----      ----        '3    UNCH                     '3
4800       ----      ----      ----      ----        '2     -'1                     '3
4850       ----      ----      ----      ----        '2    UNCH                     '2
4900       ----      ----      ----      ----        '2    UNCH                     '2
4950       ----      ----      ----      ----        '2    UNCH                     '2
5000       ----      ----      ----      ----        '2    UNCH                     '2
5050       ----      ----      ----      ----        '1    UNCH                     '1
5100       ----      ----      ----      ----        '1    UNCH                     '1
5150       ----      ----      ----      ----        '1    UNCH                     '1
5200       ----      ----      ----      ----        '1    UNCH                     '1
5250       ----      ----      ----      ----        '1    UNCH                     '1
CDF FEB17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     106'4    -3'0                  109'4
2750       ----      ----      ----      ----     101'4    -3'0                  104'4
2800       ----      ----      ----      ----      96'5    -3'0                   99'5
2850       ----      ----      ----      ----      91'5    -3'0                   94'5
2900       ----      ----      ----      ----      86'6    -3'0                   89'6
2950       ----      ----      ----      ----      81'7    -3'0                   84'7
3000       ----      ----      ----      ----      77'0    -3'0                   80'0
3050       ----      ----      ----      ----      72'1    -3'0                   75'1
3100       ----      ----      ----      ----      67'3    -2'7                   70'2
3150       ----      ----      ----      ----      62'5    -2'7                   65'4
3200       ----      ----      ----      ----      57'7    -2'7                   60'6
3250       ----      ----      ----      ----      53'2    -2'7                   56'1
3300       ----      ----      ----      ----      48'6    -2'6                   51'4
3350       ----      ----      ----      ----      44'3    -2'5                   47'0
3400       ----      ----      ----      ----      40'0    -2'5                   42'5
3450       ----      ----      ----      ----      35'6    -2'5                   38'3
3500       ----      ----      ----      ----      31'6    -2'4                   34'2
3550       ----      ----      ----      ----      28'1    -2'1                   30'2
3600       ----      ----      ----      ----      24'4    -2'2                   26'6
3650       ----      ----      ----      ----      21'1    -2'1                   23'2
