date,C_up_gamma_5,C_down_gamma_5,C_up_diff_5,C_down_diff_5
2016-09-21,53219.37563244933,53384.32127443938,11268.575198679093,11471.420535143334
2016-09-22,52737.562140790425,54080.579964205164,11594.644210784267,11644.3739666244
2016-09-27,56031.645597142,37727.19342461605,12965.800732249358,7437.719089005797
2016-09-29,56912.627474316316,39498.50730994867,13003.249795637283,8306.498079654088
2016-09-30,56946.454784731664,40410.80836127843,12994.168946347287,8664.380660915322
2016-10-04,49387.575503726395,57409.85204778004,13160.640704332414,17047.10748322369
2016-10-05,49611.375192217536,55369.49795395391,12984.575875923656,17925.141282880948
2016-10-06,49697.12753773093,56293.58998069983,13339.62997959074,17863.522467148083
2016-10-11,49460.71805569283,58207.93756902934,15072.487377787169,16935.2567795636
2016-10-13,55694.5840457103,42897.32636414049,16570.833695266498,13476.211916168439
2016-10-14,51748.30643708272,73336.19247392214,14237.82264038526,21075.47316263801
2016-10-17,51756.501753639626,74795.09811444147,13692.123730728075,22258.466580358872
2016-10-18,51150.69338551148,71892.54128040385,14911.354060577665,23079.984505059125
2016-10-19,50021.80210227536,70785.17459247005,15666.671756342286,24076.02144994401
2016-10-20,49634.47931021856,69274.56667308675,14748.691451564642,26161.47712723245
2016-10-21,58701.553308903545,71658.67893293849,16591.10774728685,22171.50727513298
2016-10-24,49941.97284533497,72080.69539330043,17267.031645469568,24201.644338252438
2016-10-25,55126.24036402955,58713.37773873399,18425.012180864745,24241.59033624624
2016-10-26,54125.64868296889,75151.0393976404,18599.811923072055,26598.74359125588
2016-10-27,46682.559338368126,76571.61340955581,16783.7320405759,29945.587821208203
2016-10-31,52889.76060790315,73881.9312207861,18892.30191063101,29020.118351109173
2016-11-01,51410.72071567525,72770.53296918733,19286.753192814933,30851.21552093402
2016-11-02,58019.19134137163,69220.38981712621,20138.815180714664,26673.461692173878
2016-11-03,51773.48020621559,57940.22458877246,17208.79553412563,24430.53484521583
2016-11-04,47403.996852134005,55752.38317701677,16429.002705336134,24893.97286332953
2016-11-07,50737.349869444224,53387.046519735595,18637.789394706382,25410.333310519418
2016-11-08,53819.04079399785,54747.12651553885,21182.599209849082,25137.055237849883
2016-11-09,47637.1206672251,72922.18830485518,19926.807456642655,30414.591701860983
2016-11-10,62198.28964176291,55666.24893272592,24012.560709223508,20934.700347724887
