date,negative_proportion_min,negative_proportion_max,negative_proportion_mean,positive_proportion_min,positive_proportion_max,positive_proportion_mean,neutral_proportion_min,neutral_proportion_max,neutral_proportion_mean,combined_score_min,combined_score_max,combined_score_mean
2009-05-05,0.0,0.0,0.0,0.163,0.252,0.20750000000000002,0.748,0.837,0.7925,0.4767,0.7506,0.61365
2009-05-08,0.0,0.0,0.0,0.277,0.277,0.277,0.723,0.723,0.723,0.6115,0.6115,0.6115
2009-05-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2009-05-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2009-05-13,0.075,0.075,0.075,0.222,0.222,0.222,0.703,0.703,0.703,0.4809,0.4809,0.4809
2009-05-14,0.0,0.0,0.0,0.348,0.348,0.348,0.652,0.652,0.652,0.7506,0.7506,0.7506
2009-05-15,0.0,0.0,0.0,0.141,0.444,0.2925,0.556,0.859,0.7075,0.2023,0.7506,0.47645000000000004
2009-05-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2009-05-18,0.0,0.0,0.0,0.324,0.375,0.34950000000000003,0.625,0.676,0.6505000000000001,0.7717,0.802,0.78685
2009-05-20,0.0,0.0,0.0,0.0,0.255,0.1275,0.745,1.0,0.8725,0.0,0.6249,0.31245
2009-05-21,0.0,0.0,0.0,0.24,0.24,0.24,0.76,0.76,0.76,0.6249,0.6249,0.6249
2009-05-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2009-05-23,0.0,0.0,0.0,0.446,0.446,0.446,0.554,0.554,0.554,0.7944,0.7944,0.7944
2009-05-24,0.0,0.0,0.0,0.187,0.187,0.187,0.813,0.813,0.813,0.3182,0.3182,0.3182
2009-05-26,0.0,0.0,0.0,0.172,0.172,0.172,0.828,0.828,0.828,0.3612,0.3612,0.3612
2009-05-27,0.0,0.0,0.0,0.444,0.444,0.444,0.556,0.556,0.556,0.7506,0.7506,0.7506
2009-05-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2009-06-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2009-06-06,0.0,0.0,0.0,0.207,0.207,0.207,0.793,0.793,0.793,0.3935,0.3935,0.3935
2009-06-09,0.0,0.0,0.0,0.368,0.368,0.368,0.632,0.632,0.632,0.7506,0.7506,0.7506
