date,TY_volume_chg,US_volume_chg,C_volume_chg,S_volume_chg,W_volume_chg,CD_volume_chg,EC_volume_chg,JY_volume_chg,MP_volume_chg,NQ_volume_chg,ES_volume_chg,GC_volume_chg,CL_volume_chg,TY_opening_down,TY_opening_unch,TY_opening_up,US_opening_down,US_opening_unch,US_opening_up,C_opening_down,C_opening_unch,C_opening_up,S_opening_down,S_opening_unch,S_opening_up,W_opening_down,W_opening_unch,W_opening_up,CD_opening_down,CD_opening_unch,CD_opening_up,EC_opening_down,EC_opening_unch,EC_opening_up,JY_opening_down,JY_opening_unch,JY_opening_up,MP_opening_down,MP_opening_unch,MP_opening_up,NQ_opening_down,NQ_opening_unch,NQ_opening_up,ES_opening_down,ES_opening_unch,ES_opening_up,GC_opening_down,GC_opening_unch,GC_opening_up,CL_opening_down,CL_opening_unch,CL_opening_up
2015-11-17,7.264907513777932,15.490918300491662,24.506945288138336,-0.36076239729741,110.70751138088013,-1.5829252304014192,2.7750353014109086,-25.09724539387785,-9.487984245669097,-2.480322913307416,-2.8692298820494715,8.504745487868858,-10.880246221076218,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
2015-11-18,-3.9378003853943326,-2.338013173471906,14.887757701919577,48.5988154287269,7.521267497861997,2.253567113984398,3.0065410582421284,8.761077569466517,-1.4748460278877875,-4.076211380104803,-2.55372455417058,-3.0449356947675605,7.0266493990951,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2015-11-19,0.04769756651812028,28.648658763191897,1.1525031850139267,2.666122081068139,0.05023442732752846,0.9568224490056535,8.022799772273386,-8.684612773314393,14.79153487837138,-4.872331559108215,-5.156959548548653,2.5257818757245523,7.071820482662217,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
2015-11-20,-0.46467774746830187,-2.639304421733214,-1.979218416541305,6.43418615817271,-6.863598326359839,7.343141394541195,1.6325746976144135,-9.503479104802802,1.5507161428979408,-5.892285559255885,13.056758178314837,-14.641963181658108,4.785334291876349,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2015-11-23,15.506875390136326,10.638415617475975,4.2864974758434915,14.35273737774731,15.793635105752134,5.520806446480288,3.2238118379619234,-17.977841349883626,-3.4483371023312532,-10.153613081232962,-8.501064986685074,-11.764627523766812,9.582893101091962,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2015-11-24,23.624704147028844,10.995511676615266,-5.923970779896409,5.151441375641331,-3.260498463639473,2.2423643339420667,0.6840873381165625,1.0116833747957643,3.2312059694537605,-3.6993286365207845,-1.203929053901548,-17.180302679562914,7.954116874550156,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2015-11-25,5.628557593856023,-0.5925594939633172,-11.413536985727255,-8.499408304320234,-1.9186037184978337,9.526197288342233,28.1962115243335,-6.305332392635239,-1.331614865145787,-12.025139391568036,-10.033917929229757,-9.274633752124178,0.6531626517902668,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2015-11-27,-5.801848071429557,-22.503546796645647,-10.6966383683339,-9.216278906304911,-6.246217758950631,-4.790032137022218,-6.272662504661312,-5.302597860014338,-12.71331828442438,-11.913045508674431,-8.939185619677046,1.3852549047623302,-4.664896929479865,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
2015-11-30,-0.23378668896907912,-2.700224345850186,-0.47237489790962267,-2.941100564166882,56.71993301001361,-10.180209060109487,-2.942909641141563,0.9292832316777198,-3.4957415261542684,0.11246804884976593,-18.02781347015944,14.167310745435852,-3.1162803066382745,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
2015-12-01,-7.297020567132762,-5.456837855436638,-6.966222360220904,-4.015656326613107,0.9895920298324666,-2.483607073626468,0.6431670025663089,4.210438416393011,0.7460553395838071,7.8383237760932785,9.662695554439765,9.407764293814958,-5.145317631699629,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
2015-12-02,-21.619192573609915,-15.631244217591423,-4.783700454531007,7.7512078365320685,-4.919315726819797,6.283907913999494,5.3568377539080645,-1.4850286466816358,5.1773301177471955,0.30399294736362115,3.3831871616383955,8.525296472649769,6.002634843703458,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
2015-12-03,34.81408260898301,20.135031130408017,-0.8345573507811457,9.140879688190957,-3.751405617834251,-0.7234756540145738,18.382382893231046,8.75007514968048,14.96503213536645,29.698338817764192,31.81417848799628,11.027220022968976,5.432473037905517,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
2015-12-04,16.026387744631304,21.99998586170272,-1.1285598868915403,18.765635674071277,1.7235772357723622,13.812545482986824,17.707067323174076,10.432455371587725,4.891211891898229,44.612460230438764,20.360929724816064,3.621224934089041,9.13519048123434,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
