date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2016-09-21,34465.71007140238,39120.52904557022,13183.794487725128,16165.09999449155
2016-09-22,37548.504509092076,38822.63752851547,13185.095326124905,15769.076623894278
2016-09-23,29833.167794257628,39086.79621592904,13758.59332659811,16592.20157367699
2016-09-26,39720.84281246581,33082.313487347594,16241.849328933804,13876.210430970346
2016-09-27,38721.7811468552,34020.34194486566,16677.953366649173,12458.728469969115
2016-09-28,37919.07461726542,34176.99847430116,16977.663545656935,13195.46255137958
2016-09-29,37984.20142194961,34255.603709675284,17006.08356492424,13223.495693875884
2016-09-30,37966.023104859145,35248.25106334583,16792.140248690608,14694.14578789756
2016-10-04,34042.43437629459,44023.36488255532,14210.601303990217,19484.311166185646
2016-10-05,34901.36721537198,37207.79505135797,15494.423028998553,16957.89881207759
2016-10-06,34238.89351099219,37803.515273198944,16827.314380070165,16314.53451525895
2016-10-07,36824.5125827435,40293.16273917227,17209.379048565585,17887.400111731025
2016-10-11,36943.481286550224,39274.54855190281,16597.64522097759,18094.38840353811
2016-10-13,39683.43651624611,35816.30644604476,22139.47658762462,19503.803903459222
2016-10-14,36551.85642360425,35764.52622613146,21500.600926757208,21264.71519731453
2016-10-17,36089.513109663545,33383.958629770445,19929.086825009494,21083.563243404125
2016-10-18,23337.04236724037,38441.99788824544,12600.365616621617,22949.871028500755
2016-10-19,24987.154350840436,36509.64108011004,12744.918720922537,23431.88691778709
2016-10-20,19963.687189040706,36564.28915334053,10481.829826482997,24066.389018006594
2016-10-21,22985.48995854651,31158.19900874388,10711.594711267759,20615.23439114396
2016-10-24,12853.516954876704,13636.125156703061,2926.20864029981,4348.7043031671765
2016-10-26,13044.628252702245,15183.694245195144,3031.9507137865294,5676.0449315358255
2016-10-27,10933.970030458515,20533.626535025534,2313.2847842500105,7798.330066827375
2016-10-28,13234.067755681548,21439.638753502204,2751.270175917931,7426.661175312631
2016-10-31,13596.361467151963,21654.831925993276,2815.151938431456,7500.260345385754
2016-11-01,13469.482099213865,22734.323970272068,2773.9936544165903,7667.33251894346
2016-11-02,15317.848982841802,19136.031655639632,3611.142872705832,5707.924461865656
2016-11-03,15394.983385668054,18529.580063359,4138.36815280643,5178.120519787504
2016-11-04,13781.913900675232,18755.267309828763,3432.827544421836,5529.557198671311
2016-11-07,14745.108977213577,20902.186420013895,3559.4326334624348,6679.709988767228
2016-11-08,15414.171395560317,22239.75014767647,4108.172254720217,7457.0266792884795
2016-11-09,14788.105086520627,25222.47692410358,3459.600293387488,8851.116784951355
2016-11-10,16635.66292034614,22067.227652222606,4355.624422481558,6893.78344829866
2016-11-11,16376.644871421464,23977.23436308253,4368.402524439134,8069.907354285999
2016-11-14,18450.028439311598,24290.551217800246,4928.484507175446,7029.526435120944
2016-11-15,25892.11495291089,29882.96697276676,8904.775429939178,11565.53810645283
2016-11-16,23140.678445559326,32911.00148654533,8407.013853973236,14011.499552814632
2016-11-17,24675.35772692842,31012.991853755437,9574.155570579118,13469.881333111403
2016-11-18,24265.87115338896,31584.189978571685,9106.56272134074,14212.859430266923
2016-11-21,24982.130802296193,29234.3722455997,9212.300667617377,14197.178122058982
2016-11-22,16243.183838648012,39737.26234166128,5239.7657554899815,20037.2067795237
2016-11-24,13888.014039103464,40246.1627026347,4171.347821114403,19554.87959195423
2016-11-25,12371.944274463556,34772.33368391105,3179.1341625582045,14976.561164611288
2016-11-28,12532.59354059896,35758.75068351571,2920.3430940335475,16510.490351992787
2016-11-29,12184.576628180122,35914.55337755077,2508.0487379900787,16696.582702474694
2016-11-30,17182.852544602618,38149.17762740789,3583.351812414354,15302.654470183654
2016-12-01,18250.658096447703,37309.65087186395,4683.692131163516,15522.02685378896
2016-12-02,17757.37461630327,36529.81668281969,4987.975746938884,15730.196102635768
2016-12-05,17950.253136777363,36331.75672390737,5531.139165417042,15938.773846253414
2016-12-06,17389.770323553577,36282.47297096512,4262.014756571389,18216.598195120765
2016-12-07,15098.63182003711,37726.202868436965,3935.0057509782164,18495.756893281665
2016-12-08,15093.194999280633,37511.95731448594,3954.5165993532064,18833.6093177073
2016-12-09,19198.677611260653,34702.29318887916,6886.783681433877,15829.884370535681
2016-12-12,18295.51149072697,36921.907599325095,5598.7229424313755,17887.85213121271
2016-12-13,20024.93117922954,36155.1734918279,7380.2473305027925,18725.89490409054
2016-12-14,20401.605587699727,36323.38879159373,8119.882090741019,18078.633750216573
2016-12-15,21207.027677043712,31770.884652841705,8621.217136368039,15909.331401017365
2016-12-16,22569.550099599663,42239.23263555895,8759.816142066922,19967.448388077166
2016-12-19,21496.215639115093,43748.30353922963,7881.3061183619975,21705.518823813993
2016-12-20,25812.630488296203,37746.986042391676,10942.687928066734,18292.104465671102
2016-12-21,27675.506996585016,32555.898308393567,13230.940236467202,14713.853467022833
2016-12-22,25078.796787850257,32940.11569287471,11234.873645242329,16023.75785476248
2016-12-26,21819.09148756439,17881.967661039118,7016.500306888805,7051.866447003815
2016-12-27,15270.4629972486,14653.56056942206,5097.084843424356,4402.786254902841
2016-12-28,19464.210170106406,23403.627576046063,5893.780124538278,8585.474079253227
2016-12-29,19774.075535686,20936.758624209826,6572.329723541145,7599.675439536848
2017-01-02,22312.992139606555,20432.662213094136,6562.851110025555,6981.291049208987
2017-01-03,16833.155478849993,14338.400079899086,4778.983017417775,4415.447712985482
2017-01-04,24685.186560958377,19348.449627027563,8227.398057131057,6084.564275945888
2017-01-05,20907.872060421836,24698.60891020619,6801.871066415717,9037.371218090626
2017-01-06,23095.5433195221,25157.48718808315,7288.4193106298935,9182.158622815708
2017-01-09,26911.816169447848,19261.016647547385,9396.252772297627,7159.586298270287
2017-01-10,22230.03133509056,25075.001812761348,7877.685485384336,9022.375899440618
2017-01-11,21072.711489266625,27482.388080441506,7206.273155494524,11023.138398952287
2017-01-12,24965.727812193007,28016.453558355297,9676.288416007588,10771.485560648081
2017-01-16,19670.0962678711,38393.23956686745,7853.920021694508,18519.1871360602
2017-01-17,17550.77815868293,31823.064664484475,5295.6536968308465,11627.263001544492
2017-01-18,19575.762428673264,42376.453643263296,4763.151370811052,20632.508895117866
2017-01-19,17728.478130687465,40739.60225494661,4900.903194412718,19078.872053823965
2017-01-20,19850.33543775723,40844.980706300135,5197.323049989065,19262.686832189123
2017-01-23,19199.108549408695,41578.9508804813,5661.0414149798,19413.002671803406
2017-01-24,21328.29991337403,37560.91854288253,6993.407027041045,17454.625655660166
2017-01-25,19857.515020950468,38103.29108680136,6997.413865151271,18505.346691452756
2017-01-26,20927.993776185063,36709.735635353274,7738.2729317184385,17926.272516304856
2017-01-27,22061.197564267353,35329.98905848952,8118.228283655535,14872.212081067344
2017-01-30,22004.876294050886,36407.41542060944,7557.59134957951,14299.083128019156
2017-01-31,25382.9513705526,23235.40198233481,9693.812088449728,9172.701314425842
2017-02-01,22936.23798581812,22408.451487160673,9636.227534411973,9148.117271244097
2017-02-02,20605.15601648704,31844.26208824477,7981.987324133061,11878.60540263086
2017-02-03,20772.518577730814,32694.12829241168,7881.991155639587,12907.100658399402
2017-02-06,24880.315510251156,32987.96415028934,10448.46606656658,12608.347668353686
2017-02-07,20948.21219330113,34702.09177180743,8373.861325126296,14393.394839899775
2017-02-08,22074.56303046125,35217.499856609415,7904.270672231554,16299.388153364667
2017-02-09,19581.806452368488,45059.69631045588,6959.7185134589145,19380.91298252005
2017-02-10,20356.675585499986,40883.08661892998,7638.271438305361,17659.83106631714
2017-02-13,18294.86356226521,44306.49546948206,6651.710961539926,20951.523171444067
2017-02-14,18104.818039640457,39271.12318672443,7412.198667417759,19447.449927372658
2017-02-15,21700.632108358528,30492.525525433095,9820.69371230025,16298.91647799406
2017-02-16,18817.34810626762,41283.77643973599,6906.6324976696105,21918.9161401893
