date,W_up_gamma_5,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2016-09-27,11281.695503480752,5119.843341836715,2705.4360015030015,1032.1878143682948
2016-09-29,11350.174510292896,6931.755882728514,2601.233780961704,1962.5973287907773
2016-10-04,11245.962151325506,6619.575422298211,2693.882755761373,1672.9554557689698
2016-10-11,14704.655913756811,9338.07771459551,2955.022046548067,2552.378464831936
2016-10-13,18393.989865966938,8111.147772252696,3938.700607363233,2212.19904854593
2016-10-14,16077.514957627736,11935.139450384582,2674.525475987153,3644.533527581316
2016-10-17,15985.89677714232,12729.585807747137,3040.2688348521024,3668.5924260067895
2016-10-18,17423.047275351888,12313.540300270899,3126.383560912478,3931.1070436017544
2016-10-19,16179.43837799255,10251.410359316884,3651.844879443808,3625.09623258018
2016-10-20,17034.458157565772,10184.033120339214,3997.5982330387287,3836.0838171747173
2016-10-21,19473.997404139227,11141.094790530151,4440.494131367786,3965.8530861773716
2016-10-24,19841.509627331514,11249.304273802634,4878.894868628433,4012.5209204398234
2016-10-26,20003.86351319903,8605.203170250805,5736.820233752631,3128.9926340389175
2016-10-27,17283.921443091233,13164.568369841347,4786.783270485141,4237.181524539834
2016-10-31,21364.573728799533,9921.54020860561,6447.310372275122,4041.0994045191974
2016-11-01,17555.049700934327,14599.7305609652,4702.821931221613,5950.893443180612
2016-11-02,18480.851953866862,12826.586591577114,5413.187163752456,4964.124492017868
2016-11-03,19558.045931364282,13146.299651518479,5592.865946953882,5588.413515655846
2016-11-04,20901.32606559956,12743.337049750247,6685.714589242176,4626.1651129597885
2016-11-07,20653.908002056683,13354.605077257855,6332.577088610202,5066.135922161959
2016-11-08,19895.900440713674,9111.101935177161,6945.962285221542,4265.7546705408495
2016-11-09,19666.818934505554,14173.340575590837,6253.87879952235,5912.820740767525
2016-11-10,22374.481329993287,8281.844995306257,8332.908139599109,3800.9399999183634
2016-11-11,22189.234125758594,7822.362131274584,8678.532973756972,3622.0079962153213
2016-11-14,21733.383273052812,10411.642020420715,8289.715388891322,4649.678033451635
2016-11-15,26559.925334053987,5416.174994838783,11226.272931840256,2014.2088921706272
2016-11-16,27033.324356339323,5056.692481215918,8940.216770269602,1955.2452018420017
2016-11-17,28317.699374064734,4902.949291527745,12017.663635555313,1805.1324550001173
2016-11-18,24475.811629963453,7351.594688443956,10625.197499420581,3656.2496130605427
2016-11-21,22873.2001779617,6791.144406883307,8105.546702583146,2856.7133738369484
2016-11-22,19443.144034496607,7175.594805962246,7247.566411069922,3316.612547825761
2016-11-24,24795.768347587706,5912.502081531173,9508.56930218818,2866.6448316232036
2016-11-25,17879.05326017365,4227.889155407739,7430.5856585594975,1057.4154216333118
