date,ES,NQ,CD,EC,JY,MP,TY,US,C,S,W,CL,GC
2014-01-02,1756.0,3701.0,0.94065,1.4714,10352.5,62420.0,113.98436000000001,119.21875,640.0,1233.5,963.0,116.42,1330.6
2014-01-03,1755.0,3673.25,0.94465,1.466,10355.5,62870.0,113.93749,119.125,642.75,1234.5,970.5,114.94,1344.0
2014-01-06,1750.25,3659.5,0.94135,1.4697,10391.5,62870.0,114.23436000000001,119.625,646.75,1237.75,970.5,114.41,1343.4
2014-01-07,1760.25,3690.5,0.93175,1.4679,10370.5,63245.0,114.45311000000001,119.90625,644.75,1235.0,967.0,114.65,1335.0
2014-01-08,1762.0,3706.5,0.92825,1.4644,10341.5,62720.0,113.87499,119.375,636.25,1226.75,953.75,113.34,1330.9
2014-01-09,1762.5,3689.5,0.92325,1.4652,10346.5,62795.0,114.09373000000001,119.9375,631.25,1231.25,948.75,112.7,1334.8
2014-01-10,1767.25,3703.25,0.92105,1.4722,10412.5,63645.0,115.06249,121.3125,651.75,1236.25,934.25,113.76,1352.3
2014-01-13,1744.5,3651.25,0.92395,1.4735,10516.5,62970.0,115.34373000000001,121.6875,653.5,1250.5,939.75,112.82,1356.5
2014-01-14,1762.5,3715.5,0.91665,1.4735,10397.5,62845.0,114.93749,121.25,650.5,1264.5,945.5,113.59,1350.8
2014-01-15,1771.0,3740.0,0.91595,1.4661,10361.5,62195.0,114.73436000000001,121.125,644.5,1273.75,934.0,115.16,1343.7
2014-01-16,1765.75,3737.0,0.91895,1.4676,10387.5,61970.0,115.03123000000001,121.6875,646.5,1272.5,939.0,114.91,1345.6
2014-01-17,1763.75,3726.5,0.91465,1.4591,10386.5,62095.0,115.18749,121.90625,642.75,1273.5,929.75,115.4,1357.3
2014-01-21,1768.0,3751.25,0.91385,1.4621,10390.5,61820.0,115.14061000000001,122.0,643.25,1240.25,928.25,115.78,1347.0
2014-01-22,1768.0,3762.25,0.90555,1.4608,10378.5,61695.0,114.73436000000001,121.65625,644.0,1241.25,927.25,117.54,1343.7
2014-01-23,1753.75,3755.5,0.90305,1.4758,10492.5,61270.0,115.54686000000001,122.90625,646.25,1238.75,935.5,118.13,1367.5
2014-01-24,1711.5,3674.0,0.90695,1.4738,10574.5,61095.0,115.82811000000001,123.4375,647.0,1246.25,930.75,117.45,1369.5
2014-01-27,1705.25,3644.75,0.90445,1.4728,10530.5,61370.0,115.57811000000001,122.9375,649.0,1247.25,929.0,116.53,1368.5
2014-01-28,1717.75,3642.75,0.90025,1.4727,10521.5,62070.0,115.84373000000001,123.21875,649.0,1247.25,931.0,118.22,1355.5
2014-01-29,1700.75,3614.75,0.89945,1.4725,10601.5,61395.0,116.39061000000001,124.09375,645.0,1233.0,915.25,118.17,1367.2
2014-01-30,1710.75,3643.75,0.89825,1.4612,10535.5,61445.0,116.21873000000001,123.875,650.5,1237.25,915.5,119.04,1347.5
2014-01-31,1706.0,3655.75,0.90225,1.4546,10572.5,61645.0,116.51561000000001,124.1875,650.5,1244.75,917.5,118.3,1344.8
2014-02-03,1662.25,3571.75,0.90465,1.4593,10715.5,60545.0,117.18749,125.5,652.75,1254.5,925.0,117.24,1364.9
2014-02-04,1673.25,3593.75,0.90655,1.4578,10640.5,61620.0,116.90623000000001,124.75,658.75,1273.75,946.0,118.0,1356.2
2014-02-05,1673.5,3587.25,0.90635,1.4596,10670.5,61970.0,116.64061000000001,124.0,658.5,1275.75,948.5,118.19,1361.9
2014-02-06,1696.0,3629.0,0.90725,1.4649,10591.5,62170.0,116.37499,123.625,659.5,1288.0,941.5,118.65,1362.2
2014-02-07,1723.0,3699.75,0.91005,1.469,10574.5,61995.0,116.73436000000001,123.90625,661.0,1293.75,938.5,120.69,1367.9
2014-02-10,1724.25,3719.25,0.90895,1.4703,10583.5,61820.0,116.70311000000001,123.875,659.75,1288.5,944.25,120.87,1379.7
2014-02-11,1743.0,3754.5,0.91175,1.47,10542.5,61995.0,116.34373000000001,123.4375,658.25,1296.75,948.25,120.87,1394.8
2014-02-12,1746.5,3766.25,0.91315,1.4656,10557.5,61720.0,116.01561000000001,122.84375,657.0,1287.25,945.5,121.35,1400.0
2014-02-13,1753.75,3792.75,0.91495,1.4736,10574.5,62195.0,116.51561000000001,123.59375,657.5,1307.0,952.25,121.48,1405.1
