DATE,LIBOR
11/13/2014,0.1547
11/14/2014,0.153
11/17/2014,0.154
11/18/2014,0.155
11/19/2014,0.155
11/20/2014,0.155
11/21/2014,0.15525
11/24/2014,0.1535
11/25/2014,0.15625
11/26/2014,0.15575
11/27/2014,0.155
11/28/2014,0.154
12/1/2014,0.15775
12/2/2014,0.15825
12/3/2014,0.157
12/4/2014,0.1572
12/5/2014,0.158
12/8/2014,0.1617
12/9/2014,0.1585
12/10/2014,0.1608
12/11/2014,0.1608
12/12/2014,0.161
12/15/2014,0.162
12/16/2014,0.162
12/17/2014,0.1641
12/18/2014,0.16545
12/19/2014,0.16425
12/22/2014,0.167
12/23/2014,0.1695
12/24/2014,0.16875
12/25/2014,0.16875
12/26/2014,0.16875
12/29/2014,0.16925
12/30/2014,0.1695
12/31/2014,0.17125
1/1/2015,0.17125
1/2/2015,0.1675
1/5/2015,0.168
1/6/2015,0.16775
1/7/2015,0.1665
1/8/2015,0.16625
1/9/2015,0.16675
1/12/2015,0.1665
1/13/2015,0.1665
1/14/2015,0.16825
1/15/2015,0.168
1/16/2015,0.168
1/19/2015,0.16875
1/20/2015,0.1685
1/21/2015,0.16675
1/22/2015,0.16825
1/23/2015,0.16775
1/26/2015,0.169
1/27/2015,0.168
1/28/2015,0.1705
1/29/2015,0.1709
1/30/2015,0.17125
2/2/2015,0.1695
2/3/2015,0.171
2/4/2015,0.1735
2/5/2015,0.171
2/6/2015,0.1715
2/9/2015,0.1722
2/10/2015,0.1717
2/11/2015,0.1717
2/12/2015,0.172
2/13/2015,0.173
2/16/2015,0.173
2/17/2015,0.1735
2/18/2015,0.1735
2/19/2015,0.1735
2/20/2015,0.1715
2/23/2015,0.171
2/24/2015,0.1715
2/25/2015,0.172
2/26/2015,0.1719
2/27/2015,0.173
3/2/2015,0.1727
3/3/2015,0.173
3/4/2015,0.175
3/5/2015,0.175
3/6/2015,0.175
3/9/2015,0.1765
3/10/2015,0.1779
3/11/2015,0.176
3/12/2015,0.1745
3/13/2015,0.1765
3/16/2015,0.177
3/17/2015,0.1775
3/18/2015,0.176
3/19/2015,0.17325
3/20/2015,0.174
3/23/2015,0.17375
3/24/2015,0.17275
3/25/2015,0.1756
3/26/2015,0.17775
3/27/2015,0.178
3/30/2015,0.17925
3/31/2015,0.17625
4/1/2015,0.17755
4/2/2015,0.17975
4/3/2015,0.17975
4/6/2015,0.17975
4/7/2015,0.18015
4/8/2015,0.18095
4/9/2015,0.18
4/10/2015,0.1785
4/13/2015,0.1815
4/14/2015,0.1825
4/15/2015,0.1804
4/16/2015,0.18055
4/17/2015,0.18025
4/20/2015,0.1805
4/21/2015,0.1815
4/22/2015,0.18175
4/23/2015,0.18125
4/24/2015,0.1815
4/27/2015,0.18125
4/28/2015,0.18425
4/29/2015,0.18025
4/30/2015,0.181
5/1/2015,0.18225
5/4/2015,0.18225
5/5/2015,0.1805
5/6/2015,0.18025
5/7/2015,0.1815
5/8/2015,0.18475
5/11/2015,0.1856
5/12/2015,0.1856
5/13/2015,0.1856
5/14/2015,0.18335
5/15/2015,0.1862
5/18/2015,0.184
5/19/2015,0.18675
5/20/2015,0.18475
5/21/2015,0.18475
5/22/2015,0.18485
5/25/2015,0.18485
5/26/2015,0.1863
5/27/2015,0.18535
5/28/2015,0.184
5/29/2015,0.184
6/1/2015,0.183
6/2/2015,0.1848
6/3/2015,0.185
6/4/2015,0.18405
6/5/2015,0.183
6/8/2015,0.1854
6/9/2015,0.1875
6/10/2015,0.18875
6/11/2015,0.1855
6/12/2015,0.18475
6/15/2015,0.18525
6/16/2015,0.185
6/17/2015,0.1875
6/18/2015,0.18675
6/19/2015,0.187
6/22/2015,0.187
6/23/2015,0.187
6/24/2015,0.1865
6/25/2015,0.186
6/26/2015,0.1866
6/29/2015,0.1866
6/30/2015,0.1865
7/1/2015,0.185
7/2/2015,0.18815
7/3/2015,0.1884
7/6/2015,0.1865
7/7/2015,0.1895
7/8/2015,0.1885
7/9/2015,0.1867
7/10/2015,0.186
