                PRELIMINARY PRICES AS OF 10/17/17 03:01 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----     .0150  +.0050                  .0100
DEC17      ----      ----      ----      ----     .0150  +.0050                  .0100
JAN18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
FEB18      ----      ----      ----      ----    -.0225    UNCH                 -.0225
MAR18      ----      ----      ----      ----    -.0250    UNCH                 -.0250
APR18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
MAY18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JUN18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JLY18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
AUG18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
SEP18      ----      ----      ----      ----     .0100    UNCH                  .0100
OCT18      ----      ----      ----      ----     .0100    UNCH                  .0100
NOV18      ----      ----      ----      ----     .0100    UNCH                  .0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----     .0300  +.0100                  .0200
DEC17      ----      ----      ----      ----     .0025  +.0050                 -.0025
JAN18      ----      ----      ----      ----    -.0350    UNCH                 -.0350
FEB18      ----      ----      ----      ----    -.0475    UNCH                 -.0475
MAR18      ----      ----      ----      ----    -.0375    UNCH                 -.0375
APR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY18      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JUN18      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JLY18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
AUG18      ----      ----      ----      ----     .0075    UNCH                  .0075
2RB RBOB TAM SYNTHETIC LONDON FUTURE
NOV17      ----      ----      ----      ----    1.6190  -.0041                 1.6231
DEC17      ----      ----      ----      ----    1.6018  -.0027                 1.6045
JAN18      ----      ----      ----      ----    1.5929  -.0025                 1.5954
3A WTI OIL CS12SYNTHT
NOV17      ----      ----      ----      ----       .12    +.29                   -.17
DEC17      ----      ----      ----      ----       .46    +.26                    .20
JAN18      ----      ----      ----      ----       .78    +.23                    .55
FEB18      ----      ----      ----      ----      1.03    +.19                    .84
MAR18      ----      ----      ----      ----      1.24    +.17                   1.07
APR18      ----      ----      ----      ----      1.36    +.14                   1.22
MAY18      ----      ----      ----      ----      1.43    +.10                   1.33
JUN18      ----      ----      ----      ----      1.43    +.07                   1.36
JLY18      ----      ----      ----      ----      1.43    +.04                   1.39
AUG18      ----      ----      ----      ----      1.42    +.03                   1.39
SEP18      ----      ----      ----      ----      1.39    UNCH                   1.39
OCT18      ----      ----      ----      ----      1.36    UNCH                   1.36
NOV18      ----      ----      ----      ----      1.31    -.01                   1.32
DEC18      ----      ----      ----      ----      1.24    -.02                   1.26
DEC19      ----      ----      ----      ----       .60    -.01                    .61
DEC20      ----      ----      ----      ----       .18    UNCH                    .18
3CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----     .0175  +.0100                  .0075
DEC17      ----      ----      ----      ----    -.0200  +.0050                 -.0250
JAN18      ----      ----      ----      ----    -.0600    UNCH                 -.0600
FEB18      ----      ----      ----      ----    -.0600    UNCH                 -.0600
MAR18      ----      ----      ----      ----    -.0425    UNCH                 -.0425
APR18      ----      ----      ----      ----    -.0225    UNCH                 -.0225
MAY18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
JUN18      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY18      ----      ----      ----      ----     .0050    UNCH                  .0050
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----      -.24    +.19                   -.43
JUN18      ----      ----      ----      ----       .70    +.07                    .63
DEC18      ----      ----      ----      ----       .73    UNCH                    .73
JUN19      ----      ----      ----      ----       .51    -.02                    .53
DEC19      ----      ----      ----      ----       .42    UNCH                    .42
JUN20      ----      ----      ----      ----       .18    -.01                    .19
DEC20      ----      ----      ----      ----       .14    UNCH                    .14
JUN21      ----      ----      ----      ----       .04    UNCH                    .04
DEC21      ----      ----      ----      ----      -.06    +.03                   -.09
JUN22      ----      ----      ----      ----      -.14    +.03                   -.17
DEC22      ----      ----      ----      ----      -.21    -.02                   -.19
JUN23      ----      ----      ----      ----      -.29    -.02                   -.27
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
NOV17      ----      ----      ----      ----    1.6351  +.0158                 1.6193
5A WTI OIL CS3 SYNTHT
NOV17      ----      ----      ----      ----      -.51    +.11                   -.62
DEC17      ----      ----      ----      ----      -.35    +.10                   -.45
6A WTI OIL CS2 SYNTHT
NOV17      ----      ----      ----      ----      -.40    +.07                   -.47
DEC17      ----      ----      ----      ----      -.28    +.07                   -.35
JAN18      ----      ----      ----      ----      -.18    +.07                   -.25
6CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----    -.0425  +.0100                 -.0525
DEC17      ----      ----      ----      ----    -.0625  +.0050                 -.0675
JAN18      ----      ----      ----      ----    -.0825    UNCH                 -.0825
FEB18      ----      ----      ----      ----    -.0725    UNCH                 -.0725
MAR18      ----      ----      ----      ----    -.0525    UNCH                 -.0525
APR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY18      ----      ----      ----      ----     .0050    UNCH                  .0050
6T In Delivery Month European Union Allowance (EUA) F
DEC17      ----      ----      ----      ----    7.4200  +.0600                 7.3600                    6900
DEC18      ----      ----      ----      ----    7.4500  +.0600                 7.3900                    3698
DEC19      ----      ----      ----      ----    7.5300  +.0600                 7.4700
DEC20      ----      ----      ----      ----    7.6100  +.0600                 7.5500
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10598
A2 WTI OIL CS1 SYNTHT
NOV17      ----      ----      ----      ----      -.23    +.04                   -.27
DEC17      ----      ----      ----      ----      -.17    +.03                   -.20
JAN18      ----      ----      ----      ----      -.11    +.04                   -.15
FEB18      ----      ----      ----      ----      -.07    +.03                   -.10
MAR18      ----      ----      ----      ----      -.01    +.03                   -.04
APR18      ----      ----      ----      ----       .04    +.03                    .01
MAY18      ----      ----      ----      ----       .08    +.03                    .05
JUN18      ----      ----      ----      ----       .12    +.02                    .10
JLY18      ----      ----      ----      ----       .12    +.01                    .11
AUG18      ----      ----      ----      ----       .13    +.02                    .11
SEP18      ----      ----      ----      ----       .11    UNCH                    .11
OCT18      ----      ----      ----      ----       .11    +.01                    .10
NOV18      ----      ----      ----      ----       .11    +.01                    .10
DEC18      ----      ----      ----      ----       .15    UNCH                    .15
JAN19      ----      ----      ----      ----       .14    UNCH                    .14
