                PRELIMINARY PRICES AS OF 01/22/19 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0200
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0200
APR19      ----      ----      ----      ----      ----    UNCH                 -.0175
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0100
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
JLY19      ----      ----      ----      ----      ----    UNCH                  .0000
AUG19      ----      ----      ----      ----      ----    UNCH                  .0000
SEP19      ----      ----      ----      ----      ----    UNCH                  .0000
OCT19      ----      ----      ----      ----      ----    UNCH                  .0000
NOV19      ----      ----      ----      ----      ----    UNCH                  .0000
2CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0400
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0375
APR19      ----      ----      ----      ----      ----    UNCH                 -.0275
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
JLY19      ----      ----      ----      ----      ----    UNCH                  .0000
AUG19      ----      ----      ----      ----      ----    UNCH                  .0000
SEP19      ----      ----      ----      ----      ----    UNCH                  .0000
OCT19      ----      ----      ----      ----      ----    UNCH                  .0000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
FEB19      ----      ----      ----      ----      ----    UNCH                 1.4464
MAR19      ----      ----      ----      ----      ----    UNCH                 1.4607
APR19      ----      ----      ----      ----      ----    UNCH                 1.6527
3A WTI OIL CS12SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                  -1.20
APR19      ----      ----      ----      ----      ----    UNCH                   -.87
MAY19      ----      ----      ----      ----      ----    UNCH                   -.47
JUN19      ----      ----      ----      ----      ----    UNCH                   -.05
JLY19      ----      ----      ----      ----      ----    UNCH                    .34
AUG19      ----      ----      ----      ----      ----    UNCH                    .59
SEP19      ----      ----      ----      ----      ----    UNCH                    .74
OCT19      ----      ----      ----      ----      ----    UNCH                    .83
NOV19      ----      ----      ----      ----      ----    UNCH                    .86
DEC19      ----      ----      ----      ----      ----    UNCH                    .83
JAN20      ----      ----      ----      ----      ----    UNCH                    .85
FEB20      ----      ----      ----      ----      ----    UNCH                    .90
MAR20      ----      ----      ----      ----      ----    UNCH                    .93
JUN20      ----      ----      ----      ----      ----    UNCH                    .94
SEP20      ----      ----      ----      ----      ----    UNCH                    .82
DEC20      ----      ----      ----      ----      ----    UNCH                    .80
MAR21      ----      ----      ----      ----      ----    UNCH                    .69
JUN21      ----      ----      ----      ----      ----    UNCH                    .61
SEP21      ----      ----      ----      ----      ----    UNCH                    .53
DEC21      ----      ----      ----      ----      ----    UNCH                    .43
3CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0575
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0475
APR19      ----      ----      ----      ----      ----    UNCH                 -.0325
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
JLY19      ----      ----      ----      ----      ----    UNCH                  .0000
AUG19      ----      ----      ----      ----      ----    UNCH                  .0000
SEP19      ----      ----      ----      ----      ----    UNCH                  .0000
4A WTI OIL CS6 SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                  -1.47
APR19      ----      ----      ----      ----      ----    UNCH                  -1.23
MAY19      ----      ----      ----      ----      ----    UNCH                   -.87
JUN19      ----      ----      ----      ----      ----    UNCH                   -.46
JLY19      ----      ----      ----      ----      ----    UNCH                   -.10
AUG19      ----      ----      ----      ----      ----    UNCH                    .13
SEP19      ----      ----      ----      ----      ----    UNCH                    .27
OCT19      ----      ----      ----      ----      ----    UNCH                    .36
NOV19      ----      ----      ----      ----      ----    UNCH                    .40
DEC19      ----      ----      ----      ----      ----    UNCH                    .41
JAN20      ----      ----      ----      ----      ----    UNCH                    .44
FEB20      ----      ----      ----      ----      ----    UNCH                    .46
MAR20      ----      ----      ----      ----      ----    UNCH                    .47
JUN20      ----      ----      ----      ----      ----    UNCH                    .42
DEC20      ----      ----      ----      ----      ----    UNCH                    .52
JUN21      ----      ----      ----      ----      ----    UNCH                    .28
DEC21      ----      ----      ----      ----      ----    UNCH                    .33
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
FEB19      ----      ----      ----      ----      ----    UNCH                 1.4497
5A WTI OIL CS3 SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                   -.95
APR19      ----      ----      ----      ----      ----    UNCH                   -.97
MAY19      ----      ----      ----      ----      ----    UNCH                   -.79
JUN19      ----      ----      ----      ----      ----    UNCH                   -.52
JLY19      ----      ----      ----      ----      ----    UNCH                   -.26
AUG19      ----      ----      ----      ----      ----    UNCH                   -.08
SEP19      ----      ----      ----      ----      ----    UNCH                    .06
OCT19      ----      ----      ----      ----      ----    UNCH                    .16
NOV19      ----      ----      ----      ----      ----    UNCH                    .21
DEC19      ----      ----      ----      ----      ----    UNCH                    .21
JAN20      ----      ----      ----      ----      ----    UNCH                    .20
FEB20      ----      ----      ----      ----      ----    UNCH                    .19
6A WTI OIL CS2 SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                   -.60
APR19      ----      ----      ----      ----      ----    UNCH                   -.69
MAY19      ----      ----      ----      ----      ----    UNCH                   -.63
JUN19      ----      ----      ----      ----      ----    UNCH                   -.44
JLY19      ----      ----      ----      ----      ----    UNCH                   -.24
AUG19      ----      ----      ----      ----      ----    UNCH                   -.10
SEP19      ----      ----      ----      ----      ----    UNCH                    .00
OCT19      ----      ----      ----      ----      ----    UNCH                    .08
NOV19      ----      ----      ----      ----      ----    UNCH                    .14
DEC19      ----      ----      ----      ----      ----    UNCH                    .15
JAN20      ----      ----      ----      ----      ----    UNCH                    .13
FEB20      ----      ----      ----      ----      ----    UNCH                    .13
6CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0725
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0525
APR19      ----      ----      ----      ----      ----    UNCH                 -.0325
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
6T In Delivery Month European Union Allowance (EUA) F
DEC19      ----      ----      ----      ----      ----    UNCH                24.8600
DEC20      ----      ----      ----      ----      ----    UNCH                25.3300
A2 WTI OIL CS1 SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                   -.26
APR19      ----      ----      ----      ----      ----    UNCH                   -.34
