        FINAL POST-CLEARING PRICES AS OF 01/25/19 10:32 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.0025  -.0100                  .0075
FEB19      ----      ----      ----      ----    -.0150  +.0025                 -.0175
MAR19      ----      ----      ----      ----    -.0200    UNCH                 -.0200
APR19      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JUN19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JLY19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
AUG19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
SEP19      ----      ----      ----      ----     .0000    UNCH                  .0000
OCT19      ----      ----      ----      ----     .0000    UNCH                  .0000
NOV19      ----      ----      ----      ----     .0000    UNCH                  .0000
2CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.0175  -.0075                 -.0100
FEB19      ----      ----      ----      ----    -.0350  +.0025                 -.0375
MAR19      ----      ----      ----      ----    -.0375    UNCH                 -.0375
APR19      ----      ----      ----      ----    -.0275    UNCH                 -.0275
MAY19      ----      ----      ----      ----    -.0175    UNCH                 -.0175
JUN19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
AUG19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
SEP19      ----      ----      ----      ----     .0000    UNCH                  .0000
OCT19      ----      ----      ----      ----     .0000    UNCH                  .0000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
FEB19      ----      ----      ----      ----    1.3929  +.0078                 1.3851
MAR19      ----      ----      ----      ----    1.4083  +.0073                 1.4010
APR19      ----      ----      ----      ----    1.6133  +.0099                 1.6034
3A WTI OIL CS12SYNTHT
MAR19      ----      ----      ----      ----     -1.45    +.21                  -1.66
APR19      ----      ----      ----      ----     -1.10    +.22                  -1.32
MAY19      ----      ----      ----      ----      -.71    +.21                   -.92
JUN19      ----      ----      ----      ----      -.30    +.21                   -.51
JLY19      ----      ----      ----      ----       .09    +.22                   -.13
AUG19      ----      ----      ----      ----       .37    +.22                    .15
SEP19      ----      ----      ----      ----       .54    +.21                    .33
OCT19      ----      ----      ----      ----       .64    +.20                    .44
NOV19      ----      ----      ----      ----       .67    +.17                    .50
DEC19      ----      ----      ----      ----       .66    +.14                    .52
JAN20      ----      ----      ----      ----       .68    +.12                    .56
FEB20      ----      ----      ----      ----       .71    +.10                    .61
MAR20      ----      ----      ----      ----       .73    +.09                    .64
JUN20      ----      ----      ----      ----       .68    +.06                    .62
SEP20      ----      ----      ----      ----       .57    +.05                    .52
DEC20      ----      ----      ----      ----       .52    +.07                    .45
MAR21      ----      ----      ----      ----       .45    +.06                    .39
JUN21      ----      ----      ----      ----       .40    +.07                    .33
SEP21      ----      ----      ----      ----       .31    +.05                    .26
DEC21      ----      ----      ----      ----       .23    +.04                    .19
3CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.0375  -.0075                 -.0300
FEB19      ----      ----      ----      ----    -.0525  +.0025                 -.0550
MAR19      ----      ----      ----      ----    -.0475    UNCH                 -.0475
APR19      ----      ----      ----      ----    -.0350    UNCH                 -.0350
MAY19      ----      ----      ----      ----    -.0200    UNCH                 -.0200
JUN19      ----      ----      ----      ----    -.0125    UNCH                 -.0125
JLY19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
AUG19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
SEP19      ----      ----      ----      ----     .0000    UNCH                  .0000
4A WTI OIL CS6 SYNTHT
MAR19      ----      ----      ----      ----     -1.58    +.07                  -1.65
APR19      ----      ----      ----      ----     -1.34    +.09                  -1.43
MAY19      ----      ----      ----      ----     -1.01    +.09                  -1.10
JUN19      ----      ----      ----      ----      -.63    +.11                   -.74
JLY19      ----      ----      ----      ----      -.28    +.12                   -.40
AUG19      ----      ----      ----      ----      -.03    +.13                   -.16
SEP19      ----      ----      ----      ----       .13    +.14                   -.01
OCT19      ----      ----      ----      ----       .24    +.13                    .11
NOV19      ----      ----      ----      ----       .30    +.12                    .18
DEC19      ----      ----      ----      ----       .33    +.10                    .23
JAN20      ----      ----      ----      ----       .37    +.10                    .27
FEB20      ----      ----      ----      ----       .40    +.09                    .31
MAR20      ----      ----      ----      ----       .41    +.07                    .34
