W Wheat Futures
SEP19     507'2     514'0     502'0     506'2     505'4    -2'0       38410      507'4       51260      174525
DEC19     519'2     525'0     513'6     516'6     517'2    -2'0       13250      519'2       19187      112001
MAR20     531'4     537'0     526'4     528'4B    529'6    -1'6        4676      531'4        6651       43875
MAY20     535'2     542'2     532'4     534'0A    535'2    -2'2        1894      537'4        1665       10702
JLY20     537'4     542'2B    533'0     533'4     535'2    -3'0        1307      538'2        1156       21251
SEP20     543'2     548'6B    539'6     539'6     541'6    -3'4         138      545'2         297        2689
DEC20     554'2     559'2B    551'0     551'0     553'2    -2'4         126      555'6         291        6233
MAR21     566'6     566'6     560'6A    560'6A    561'0    -3'0          13      564'0                    1075
MAY21     565'0     566'2B    563'2A    563'2A    562'4    -3'0          10      565'4                     144
JLY21     551'6     551'6     549'4     549'4     549'4    -3'2           4      552'6                     122
SEP21      ----      ----      ----      ----     549'4    -3'2                  552'6
DEC21      ----      ----      ----      ----     559'4     -'4                  560'0
MAR22      ----      ----      ----      ----     559'4     -'4                  560'0
MAY22      ----      ----      ----      ----     559'4     -'4                  560'0
JLY22      ----      ----      ----      ----     559'4     -'4                  560'0

WDF MAY20 Short-Dated New Crop Wheat Option CALL
3600       ----      ----      ----      ----     175'2    -3'0                  178'2
3650       ----      ----      ----      ----     170'2    -3'0                  173'2
3700       ----      ----      ----      ----     165'2    -3'0                  168'2
3750       ----      ----      ----      ----     160'2    -3'0                  163'2
3800       ----      ----      ----      ----     155'2    -3'0                  158'2
3850       ----      ----      ----      ----     150'2    -3'0                  153'2
3900       ----      ----      ----      ----     145'2    -3'0                  148'2
3950       ----      ----      ----      ----     140'2    -3'0                  143'2
4000       ----      ----      ----      ----     135'2    -3'0                  138'2
4050       ----      ----      ----      ----     130'2    -3'0                  133'2
4100       ----      ----      ----      ----     125'2    -3'0                  128'2
4150       ----      ----      ----      ----     120'3    -3'0                  123'3
4200       ----      ----      ----      ----     115'4    -3'0                  118'4
4250       ----      ----      ----      ----     110'6    -2'7                  113'5
4300       ----      ----      ----      ----     106'0    -2'7                  108'7
4350       ----      ----      ----      ----     101'3    -2'7                  104'2
4400       ----      ----      ----      ----      96'7    -2'7                   99'6
4450       ----      ----      ----      ----      92'4    -2'6                   95'2
4500       ----      ----      ----      ----      88'1    -2'7                   91'0
4550       ----      ----      ----      ----      84'0    -2'6                   86'6
4600       ----      ----      ----      ----      79'7    -2'5                   82'4
4650       ----      ----      ----      ----      75'7    -2'5                   78'4
4700       ----      ----      ----      ----      72'1    -2'4                   74'5
4750       ----      ----      ----      ----      68'3    -2'4                   70'7
4800       ----      ----      ----      ----      64'6    -2'4                   67'2
4850       ----      ----      ----      ----      61'3    -2'2                   63'5
4900       ----      ----      ----      ----      58'0    -2'2                   60'2
4950       ----      ----      ----      ----      54'6    -2'2                   57'0
5000       ----      ----      ----      ----      51'6    -2'1                   53'7
5050       ----      ----      ----      ----      48'6    -2'1                   50'7
5100       ----      ----      ----      ----      45'7    -2'0                   47'7
5150       ----      ----      ----      ----      43'1    -2'0                   45'1
5200       ----      ----      ----      ----      40'4    -2'0                   42'4
5250       ----      ----      ----      ----      38'0    -1'7                   39'7
5300       ----      ----      ----      ----      35'5    -1'7                   37'4
5350       ----      ----      ----      ----      33'3    -1'6                   35'1
5400       ----      ----      ----      ----      31'2    -1'5                   32'7                       2
5450       ----      ----      ----      ----      29'2    -1'5                   30'7
5500       ----      ----      ----      ----      27'3    -1'4                   28'7
