W Wheat Futures
DEC16     403'0     410'0     400'2     407'0     408'0    +5'0       51687      403'0       60284      136793
MAR17     419'4     427'4     416'6     424'2     425'2    +5'2       46657      420'0       55704      236385
MAY17     433'0     440'2     430'2     438'4     439'0    +5'6       11987      433'2       11508       49188
JLY17     447'4     454'4     444'6     452'6B    453'6    +5'4        5864      448'2        5781       58817
SEP17     462'0     469'0     460'4     467'6     468'4    +4'4         879      464'0         629       10507
DEC17     482'0     488'2     480'0     486'4     487'2    +3'2        1909      484'0         939       18657
MAR18     497'6     497'6     495'6A    497'2     498'4    +2'2          73      496'2          31        3165
MAY18     505'4     506'4     505'4     506'4     506'2    +2'4          36      503'6                     236
JLY18     512'4     512'4     512'4     512'4     510'2    +4'6           2      505'4                     197
SEP18     525'0     527'0     525'0     527'0     524'2    +5'2           2      519'0                     169
DEC18     543'4     543'4     543'4     543'4     543'0    +2'2           5      540'6           5         118
MAR19      ----     556'0B     ----     556'0B    550'4    +9'6                  540'6
MAY19      ----      ----      ----      ----     550'4    +9'6                  540'6
JLY19      ----      ----      ----      ----     536'6    +4'0                  532'6

WDF DEC16 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     123'7    +5'4                  118'3
3350       ----      ----      ----      ----     118'7    +5'4                  113'3
3400       ----      ----      ----      ----     113'7    +5'4                  108'3
3450       ----      ----      ----      ----     108'7    +5'4                  103'3
3500       ----      ----      ----      ----     103'7    +5'4                   98'3
3550       ----      ----      ----      ----      98'7    +5'4                   93'3
3600       ----      ----      ----      ----      93'7    +5'4                   88'3
3650       ----      ----      ----      ----      88'7    +5'4                   83'3
3700       ----      ----      ----      ----      83'7    +5'4                   78'3
3750       ----      ----      ----      ----      78'7    +5'4                   73'3
3800       ----      ----      ----      ----      73'7    +5'4                   68'3
3850       ----      ----      ----      ----      68'7    +5'4                   63'3
3900       ----      ----      ----      ----      63'7    +5'4                   58'3
3950       ----      ----      ----      ----      58'7    +5'4                   53'3
4000       ----      ----      ----      ----      53'7    +5'4                   48'3
4050       ----      ----      ----      ----      48'7    +5'4                   43'3
4100       ----      ----      ----      ----      43'7    +5'4                   38'3
4150       ----      ----      ----      ----      38'7    +5'4                   33'3
4200       ----      ----      ----      ----      33'7    +5'3                   28'4
4250       ----      ----      ----      ----      29'0    +5'3                   23'5
4300       ----      ----      ----      ----      24'1    +5'1                   19'0
4350       ----      ----      ----      ----      19'3    +4'6                   14'5
4400       ----      ----      ----      ----      14'7    +4'1                   10'6
4450       ----      ----      ----      ----      11'0    +3'3                    7'5
4500       ----      ----      ----      ----       7'6    +2'5                    5'1                      11
4550       ----      ----      ----      ----       5'1    +2'0                    3'1
4600       ----      ----      ----      ----       3'1    +1'3                    1'6
4650       ----      ----      ----      ----       1'6     +'7                     '7
4700       ----      ----      ----      ----       1'0     +'4                     '4
4750       ----      ----      ----      ----        '5     +'2                     '3
4800       ----      ----      ----      ----        '3     +'1                     '2
4850       ----      ----      ----      ----        '2     +'1                     '1
4900       ----      ----      ----      ----        '1    UNCH                     '1
4950       ----      ----      ----      ----        '1    UNCH                     '1
5000       ----      ----      ----      ----        '1    UNCH                     '1
5050       ----      ----      ----      ----        '1    UNCH                     '1
5100       ----      ----      ----      ----        '1    UNCH                     '1
5150       ----      ----      ----      ----        '1    UNCH                     '1
5200       ----      ----      ----      ----        '1    UNCH                     '1
5250       ----      ----      ----      ----        '1    UNCH                     '1
5300       ----      ----      ----      ----        '1    UNCH                     '1
5350       ----      ----      ----      ----        '1    UNCH                     '1
5400       ----      ----      ----      ----        '1    UNCH                     '1
5450       ----      ----      ----      ----        '1    UNCH                     '1
5500       ----      ----      ----      ----        '1    UNCH                     '1
5550       ----      ----      ----      ----        '1    UNCH                     '1
5600       ----      ----      ----      ----        '1    UNCH                     '1
5650       ----      ----      ----      ----        '1    UNCH                     '1
5700       ----      ----      ----      ----        '1    UNCH                     '1
5750       ----      ----      ----      ----        '1    UNCH                     '1
5800       ----      ----      ----      ----        '1    UNCH                     '1
5850       ----      ----      ----      ----        '1    UNCH                     '1
5900       ----      ----      ----      ----        '1    UNCH                     '1
5950       ----      ----      ----      ----        '1    UNCH                     '1
6000       ----      ----      ----      ----        '1    UNCH                     '1
6050       ----      ----      ----      ----        '1    UNCH                     '1
6100       ----      ----      ----      ----        '1    UNCH                     '1
6150       ----      ----      ----      ----        '1    UNCH                     '1
6200       ----      ----      ----      ----        '1    UNCH                     '1
6250       ----      ----      ----      ----        '1    UNCH                     '1
6300       ----      ----      ----      ----        '1    UNCH                     '1
6350       ----      ----      ----      ----        '1    UNCH                     '1
6400       ----      ----      ----      ----        '1    UNCH                     '1
6450       ----      ----      ----      ----        '1    UNCH                     '1
6500       ----      ----      ----      ----        '1    UNCH                     '1
6550       ----      ----      ----      ----        '1    UNCH                     '1
6600       ----      ----      ----      ----        '1    UNCH                     '1
6650       ----      ----      ----      ----        '1    UNCH                     '1
6700       ----      ----      ----      ----        '1    UNCH                     '1
6750       ----      ----      ----      ----        '1    UNCH                     '1
6800       ----      ----      ----      ----        '1    UNCH                     '1
6850       ----      ----      ----      ----        '1    UNCH                     '1
6900       ----      ----      ----      ----        '1    UNCH                     '1
6950       ----      ----      ----      ----        '1    UNCH                     '1
7000       ----      ----      ----      ----        '1    UNCH                     '1
7050       ----      ----      ----      ----        '1    UNCH                     '1
7100       ----      ----      ----      ----        '1    UNCH                     '1
7150       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7250       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1
WDF MAR17 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     123'6    +5'4                  118'2
3350       ----      ----      ----      ----     118'6    +5'4                  113'2
3400       ----      ----      ----      ----     113'6    +5'4                  108'2
3450       ----      ----      ----      ----     108'6    +5'4                  103'2
3500       ----      ----      ----      ----     103'6    +5'4                   98'2
3550       ----      ----      ----      ----      98'6    +5'4                   93'2
3600       ----      ----      ----      ----      93'6    +5'4                   88'2
3650       ----      ----      ----      ----      88'6    +5'4                   83'2
3700       ----      ----      ----      ----      83'7    +5'4                   78'3
3750       ----      ----      ----      ----      79'0    +5'4                   73'4
3800       ----      ----      ----      ----      74'1    +5'3                   68'6
3850       ----      ----      ----      ----      69'3    +5'2                   64'1
3900       ----      ----      ----      ----      64'5    +5'1                   59'4
3950       ----      ----      ----      ----      60'1    +5'1                   55'0
4000       ----      ----      ----      ----      55'6    +5'0                   50'6
4050       ----      ----      ----      ----      51'3    +4'6                   46'5
4100       ----      ----      ----      ----      47'2    +4'5                   42'5
4150       ----      ----      ----      ----      43'3    +4'4                   38'7
4200       ----      ----      ----      ----      39'5    +4'1                   35'4
