W Wheat Futures
DEC16     409'0     412'0     404'4     410'0     410'2    +2'2       55696      408'0       53488      129941
MAR17     425'6     429'6     421'2     426'4     427'0    +1'6       58935      425'2       47836      237706
MAY17     439'4     443'4     436'0     440'0B    440'4    +1'4       12061      439'0       12030       51222
JLY17     453'0     457'4     450'6     454'2     454'6    +1'0        7342      453'6        6164       59236
SEP17     469'6     472'2     466'0A    468'4     469'2     +'6         623      468'4         879       10527
DEC17     490'0     490'4     484'4A    487'0A    487'6     +'4         894      487'2        2129       19056
MAR18     500'6     501'4     498'2     499'0     498'4    UNCH          92      498'4          73        3194
MAY18     508'4     508'4     508'4     508'4     506'6     +'4          73      506'2          36         250
JLY18     512'4     512'4     512'4     512'4     513'4    +3'2          41      510'2           2         196
SEP18     527'0     527'0     527'0     527'0     527'2    +3'0           2      524'2           2         171
DEC18     544'0     544'0     542'6     544'0     546'2    +3'2         157      543'0           5         120
MAR19      ----     555'0B     ----     555'0B    555'4    +5'0                  550'4
MAY19      ----      ----      ----      ----     555'4    +5'0                  550'4
JLY19      ----      ----      ----      ----     537'0     +'2                  536'6

WDF DEC16 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     124'7    +1'0                  123'7
3350       ----      ----      ----      ----     119'7    +1'0                  118'7
3400       ----      ----      ----      ----     114'7    +1'0                  113'7
3450       ----      ----      ----      ----     109'7    +1'0                  108'7
3500       ----      ----      ----      ----     104'7    +1'0                  103'7
3550       ----      ----      ----      ----      99'7    +1'0                   98'7
3600       ----      ----      ----      ----      94'7    +1'0                   93'7
3650       ----      ----      ----      ----      89'7    +1'0                   88'7
3700       ----      ----      ----      ----      84'7    +1'0                   83'7
3750       ----      ----      ----      ----      79'7    +1'0                   78'7
3800       ----      ----      ----      ----      74'7    +1'0                   73'7
3850       ----      ----      ----      ----      69'7    +1'0                   68'7
3900       ----      ----      ----      ----      64'7    +1'0                   63'7
3950       ----      ----      ----      ----      59'7    +1'0                   58'7
4000       ----      ----      ----      ----      54'7    +1'0                   53'7
4050       ----      ----      ----      ----      49'7    +1'0                   48'7
4100       ----      ----      ----      ----      44'7    +1'0                   43'7
4150       ----      ----      ----      ----      39'7    +1'0                   38'7
4200       ----      ----      ----      ----      34'7    +1'0                   33'7
4250       ----      ----      ----      ----      30'0    +1'0                   29'0
4300       ----      ----      ----      ----      25'1    +1'0                   24'1
4350       ----      ----      ----      ----      20'2     +'7                   19'3
4400       ----      ----      ----      ----      15'4     +'5                   14'7
4450       ----      ----      ----      ----      11'1     +'1                   11'0
4500       ----      ----      ----      ----       7'2     -'4                    7'6                      11
4550       ----      ----      ----      ----       4'2     -'7                    5'1
4600       ----      ----      ----      ----       2'2     -'7                    3'1
4650       ----      ----      ----      ----       1'1     -'5                    1'6
4700       ----      ----      ----      ----        '5     -'3                    1'0
4750       ----      ----      ----      ----        '3     -'2                     '5
