W Wheat Futures
DEC16     404'0     414'0     402'6     411'2     411'4    +7'2       69000      404'2       61130      292474
MAR17     426'4     434'4     424'4     431'6     432'0    +5'2       26930      426'6       25073      108979
MAY17     441'4     449'4     440'0     447'0     447'2    +4'4        6174      442'6        6520       28323
JLY17     454'6     462'4     452'6     460'4B    460'4    +4'6        8597      455'6        7190       47346
SEP17     471'0     476'2B    469'0A    476'0     476'0    +5'2        1249      470'6        1982        6855
DEC17     487'0     494'0B    485'2     493'0     493'2    +5'6         798      487'4         801       10717
MAR18     507'2     507'6     507'2     507'6     506'6    +5'6          21      501'0          62        2306
MAY18      ----      ----      ----      ----     511'4    +5'6                  505'6                      30
JLY18      ----      ----      ----      ----     509'2    +5'4           3      503'6           2          71
SEP18      ----      ----      ----      ----     516'6    +5'4                  511'2
DEC18     524'6     524'6     524'6     524'6     529'6    +5'0           3      524'6           2          15
MAR19      ----      ----      ----      ----     529'6    +5'0                  524'6
MAY19      ----      ----      ----      ----     529'6    +5'0                  524'6
JLY19      ----      ----      ----      ----     521'6    +5'0                  516'6

WDF DEC16 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     130'5    +4'6                  125'7
3350       ----      ----      ----      ----     125'5    +4'6                  120'7
3400       ----      ----      ----      ----     120'5    +4'6                  115'7
3450       ----      ----      ----      ----     115'5    +4'6                  110'7
3500       ----      ----      ----      ----     110'5    +4'6                  105'7
3550       ----      ----      ----      ----     105'5    +4'6                  100'7
3600       ----      ----      ----      ----     100'5    +4'6                   95'7
3650       ----      ----      ----      ----      95'5    +4'6                   90'7
3700       ----      ----      ----      ----      90'5    +4'6                   85'7
3750       ----      ----      ----      ----      85'5    +4'6                   80'7
3800       ----      ----      ----      ----      80'5    +4'6                   75'7
3850       ----      ----      ----      ----      75'5    +4'6                   70'7
3900       ----      ----      ----      ----      70'5    +4'6                   65'7
3950       ----      ----      ----      ----      65'6    +4'7                   60'7
4000       ----      ----      ----      ----      60'6    +4'6                   56'0
4050       ----      ----      ----      ----      55'6    +4'5                   51'1
4100       ----      ----      ----      ----      50'7    +4'5                   46'2
4150       ----      ----      ----      ----      46'0    +4'5                   41'3
4200       ----      ----      ----      ----      41'1    +4'4                   36'5
4250       ----      ----      ----      ----      36'4    +4'3                   32'1
4300       ----      ----      ----      ----      31'7    +4'1                   27'6
4350       ----      ----      ----      ----      27'5    +4'0                   23'5
4400       ----      ----      ----      ----      23'5    +3'6                   19'7
4450       ----      ----      ----      ----      19'6    +3'2                   16'4
4500       ----      ----      ----      ----      16'4    +3'0                   13'4                      11
4550       ----      ----      ----      ----      13'5    +2'6                   10'7
4600       ----      ----      ----      ----      11'1    +2'4                    8'5
4650       ----      ----      ----      ----       9'0    +2'2                    6'6
4700       ----      ----      ----      ----       7'1    +1'7                    5'2
