W Wheat Futures
DEC16     420'4     422'2     413'0     420'2     420'2     +'2       59981      420'0       60252      284442
MAR17     440'2     442'4     433'0     441'4     440'6     +'6       22713      440'0       22212      104419
MAY17     453'6     456'0     447'2     455'4     455'2    +1'2        5264      454'0        5751       25619
JLY17     465'4     467'2     458'4     466'2     467'0    +1'4        3391      465'4        3939       44814
SEP17     479'6     481'4B    473'4A    481'0     481'0    +1'2         971      479'6         867        5512
DEC17     496'4     498'4     490'6     497'4     497'4    +1'0         761      496'4         868        9461
MAR18      ----      ----     506'6A    509'4B    510'4     +'4          13      510'0          16        2214
MAY18      ----      ----      ----      ----     514'6     +'2                  514'4                      30
JLY18      ----      ----      ----      ----     510'6     -'4                  511'2                      65
SEP18      ----      ----      ----      ----     517'6     -'4                  518'2
DEC18      ----      ----     531'6A    531'6A    531'0    -1'2                  532'2                      10
MAR19      ----      ----      ----      ----     531'0    -1'2                  532'2
MAY19      ----      ----      ----      ----     531'0    -1'2                  532'2
JLY19      ----      ----      ----      ----     523'0    -1'2                  524'2

WDF DEC16 Short-Dated New Crop Wheat Option CALL
3300       ----      ----      ----      ----     137'0    +1'4                  135'4
3350       ----      ----      ----      ----     132'1    +1'5                  130'4
3400       ----      ----      ----      ----     127'1    +1'4                  125'5
3450       ----      ----      ----      ----     122'1    +1'4                  120'5
3500       ----      ----      ----      ----     117'1    +1'4                  115'5
3550       ----      ----      ----      ----     112'1    +1'4                  110'5
3600       ----      ----      ----      ----     107'1    +1'4                  105'5
3650       ----      ----      ----      ----     102'1    +1'4                  100'5
3700       ----      ----      ----      ----      97'1    +1'4                   95'5
3750       ----      ----      ----      ----      92'1    +1'4                   90'5
3800       ----      ----      ----      ----      87'1    +1'4                   85'5
3850       ----      ----      ----      ----      82'1    +1'4                   80'5
3900       ----      ----      ----      ----      77'1    +1'4                   75'5
3950       ----      ----      ----      ----      72'1    +1'4                   70'5
4000       ----      ----      ----      ----      67'1    +1'3                   65'6
4050       ----      ----      ----      ----      62'2    +1'4                   60'6
4100       ----      ----      ----      ----      57'3    +1'4                   55'7
4150       ----      ----      ----      ----      52'4    +1'4                   51'0
4200       ----      ----      ----      ----      47'5    +1'3                   46'2
4250       ----      ----      ----      ----      43'0    +1'4                   41'4
4300       ----      ----      ----      ----      38'3    +1'3                   37'0
4350       ----      ----      ----      ----      34'0    +1'3                   32'5
4400       ----      ----      ----      ----      29'6    +1'1                   28'5
4450       ----      ----      ----      ----      25'7    +1'0                   24'7
4500       ----      ----      ----      ----      22'3    +1'0                   21'3                      11
4550       ----      ----      ----      ----      19'2     +'7                   18'3
4600       ----      ----      ----      ----      16'3     +'6                   15'5
4650       ----      ----      ----      ----      13'7     +'5                   13'2
4700       ----      ----      ----      ----      11'6     +'5                   11'1
4750       ----      ----      ----      ----       9'6     +'4                    9'2
4800       ----      ----      ----      ----       8'1     +'3                    7'6
4850       ----      ----      ----      ----       6'5     +'2                    6'3
4900       ----      ----      ----      ----       5'4     +'2                    5'2
4950       ----      ----      ----      ----       4'3     +'1                    4'2
5000       ----      ----      ----      ----       3'5     +'1                    3'4
5050       ----      ----      ----      ----       2'7    UNCH                    2'7
5100       ----      ----      ----      ----       2'3     +'1                    2'2
5150       ----      ----      ----      ----       1'7    UNCH                    1'7
5200       ----      ----      ----      ----       1'4    UNCH                    1'4
5250       ----      ----      ----      ----       1'2    UNCH                    1'2
