strike,settle,future
1075,1755.5,2830.5
1100,1730.5,
1125,1705.5,
1150,1680.5,
1175,1655.5,
1200,1630.5,
1225,1605.5,
1250,1580.5,
1275,1555.5,
1300,1530.5,
1325,1505.5,
1350,1480.5,
1375,1455.5,
1400,1430.5,
1425,1405.5,
1450,1380.5,
1475,1355.5,
1500,1330.5,
1525,1305.5,
1550,1280.5,
1575,1255.5,
1600,1230.5,
1625,1205.5,
1650,1180.5,
1675,1155.5,
1700,1130.5,
1725,1105.75,
1750,1080.75,
1775,1055.75,
1800,1031,
1825,1006.25,
1850,981.5,
1860,971.5,
1870,961.5,
1875,956.75,
1880,951.75,
1890,942,
1900,932,
1910,922.25,
1920,912.25,
1925,907.5,
1930,902.5,
1940,892.75,
1950,883,
1960,873,
1970,863.25,
1975,858.5,
1980,853.5,
1990,843.75,
2000,834,
2010,824.25,
2020,814.5,
2025,809.75,
2030,804.75,
2040,795.25,
2050,785.5,
2060,776,
2070,766.25,
2075,761.5,
2080,756.5,
2090,747,
2100,737.5,
2110,728,
2120,718.25,
2125,713.5,
2130,708.75,
2140,699.25,
2150,689.75,
2160,680.25,
2170,670.75,
2175,666,
2180,661.25,
2190,652,
2200,642.5,
2210,633.25,
2220,624,
2225,619.25,
2230,614.5,
2240,605.25,
2250,596,
2260,587,
2270,577.75,
2275,573,
2280,568.5,
2290,559.25,
2300,550.25,
2310,541,
2320,532,
2325,527.5,
2330,523,
2340,514,
2350,505,
2360,496,
2370,487,
2375,482.5,
2380,478.25,
2390,469.25,
2400,460.5,
2410,451.75,
2420,443,
2425,438.75,
2430,434.5,
2440,425.75,
2450,417,
2460,408.5,
2470,400,
2475,395.75,
2480,391.5,
2490,383,
2500,374.5,
2510,366,
2520,357.75,
2525,353.75,
2530,349.5,
2540,341.5,
2550,333.25,
2560,325,
2570,317,
2575,313,
2580,309,
2590,301,
2600,293.25,
2610,285.25,
2620,277.5,
2625,273.5,
2630,269.75,
2640,262,
2650,254.5,
2660,247,
2670,239.5,
2675,235.75,
2680,232,
2690,224.75,
2700,217.5,
2710,210.5,
2720,203.25,
2725,199.75,
2730,196.25,
2740,189.25,
2750,182.25,
2760,175.5,
2770,168.5,
2775,165.25,
2780,162,
2790,155.25,
2800,148.75,
2810,142.5,
2820,136,
2825,133,
2830,129.75,
2840,123.75,
2850,117.75,
2860,112,
2870,106,
2875,103.25,
2880,100.5,
2890,95,
2900,89.5,
2910,84,
2920,79,
2925,76.5,
2930,74,
2940,69,
2950,64.25,
2960,59.75,
2970,55.5,
2975,53.5,
2980,51.25,
2990,47.5,
3000,43.5,
3010,40,
3020,36.5,
3025,35,
3030,33.5,
3040,30.5,
3050,27.5,
3060,25,
3070,22.5,
3075,21.5,
3080,20.25,
3090,18.25,
3100,16.25,
3110,14.5,
3120,13,
3125,12.25,
3130,11.5,
3140,10.5,
3150,9.5,
3160,8.5,
3170,7.5,
3175,7,
3180,6.75,
3190,6,
3200,5.5,
3210,4.9,
3220,4.4,
3225,4.15,
3230,3.95,
3240,3.55,
3250,3.25,
3260,2.95,
3270,2.7,
3275,2.55,
3280,2.45,
3290,2.25,
3300,2.05,
3310,1.9,
3320,1.75,
3325,1.7,
3330,1.6,
3340,1.5,
3350,1.35,
3360,1.25,
3370,1.15,
3375,1.1,
3380,1.1,
3390,1,
3400,0.95,
3410,0.85,
3420,0.8,
3425,0.8,
3430,0.75,
3440,0.7,
3450,0.65,
3460,0.6,
3470,0.6,
3475,0.55,
3480,0.55,
3490,0.5,
3500,0.5,
3510,0.45,
3520,0.45,
3525,0.45,
3530,0.4,
3540,0.4,
3550,0.4,
3575,0.35,
3600,0.35,
3625,0.3,
3650,0.3,
3675,0.25,
3700,0.25,
3725,0.2,
3750,0.2,
3775,0.2,
3800,0.15,
3825,0.15,
3850,0.15,
3875,0.1,
3900,0.1,
3925,0.1,
3950,0.1,
3975,0.1,
4000,0.05,
4025,0.05,
4050,0.05,
4075,0.05,
4100,0.05,
4125,0.05,
4150,0.05,
4175,0.05,
4200,0.05,
4225,0.05,
