strike,settle,future
1075,0.25,2830.5
1100,0.25,
1125,0.3,
1150,0.35,
1175,0.35,
1200,0.4,
1225,0.45,
1250,0.5,
1275,0.5,
1300,0.55,
1325,0.6,
1350,0.65,
1375,0.75,
1400,0.8,
1425,0.85,
1450,0.9,
1475,1,
1500,1.05,
1525,1.15,
1550,1.25,
1575,1.35,
1600,1.45,
1625,1.6,
1650,1.75,
1675,1.9,
1700,2.05,
1725,2.2,
1750,2.4,
1775,2.65,
1800,2.9,
1825,3.2,
1850,3.5,
1860,3.65,
1870,3.8,
1875,3.85,
1880,3.95,
1890,4.1,
1900,4.25,
1910,4.45,
1920,4.65,
1925,4.7,
1930,4.8,
1940,5,
1950,5.25,
1960,5.5,
1970,5.75,
1975,5.75,
1980,6,
1990,6.25,
2000,6.5,
2010,6.75,
2020,7,
2025,7,
2030,7.25,
2040,7.5,
2050,8,
2060,8.25,
2070,8.75,
2075,9,
2080,9,
2090,9.5,
2100,10,
2110,10.25,
2120,10.75,
2125,11,
2130,11,
2140,11.5,
2150,12,
2160,12.5,
2170,13,
2175,13.25,
2180,13.5,
2190,14.25,
2200,14.75,
2210,15.5,
2220,16,
2225,16.5,
2230,16.75,
2240,17.5,
2250,18.25,
2260,19,
2270,19.75,
2275,20.25,
2280,20.5,
2290,21.5,
2300,22.25,
2310,23,
2320,24,
2325,24.25,
2330,24.75,
2340,25.75,
2350,26.75,
2360,27.75,
2370,28.75,
2375,29.25,
2380,30,
2390,31,
2400,32,
2410,33.25,
2420,34.5,
2425,35.25,
2430,36,
2440,37.25,
2450,38.5,
2460,40,
2470,41.25,
2475,42,
2480,42.75,
2490,44.25,
2500,45.75,
2510,47.25,
2520,49,
2525,49.75,
2530,50.75,
2540,52.5,
2550,54.25,
2560,56,
2570,58,
2575,59,
2580,59.75,
2590,61.75,
2600,63.75,
2610,66,
2620,68,
2625,69.25,
2630,70.25,
2640,72.5,
2650,75,
2660,77.25,
2670,79.75,
2675,81,
2680,82.5,
2690,85,
2700,87.75,
2710,90.5,
2720,93.25,
2725,94.75,
2730,96,
2740,99,
2750,102,
2760,105.25,
2770,108.5,
2775,110,
2780,111.5,
2790,115,
2800,118.5,
2810,122,
2820,125.5,
2825,127.5,
2830,129.25,
2840,133,
2850,137,
2860,141,
2870,145.25,
2875,147.5,
2880,149.5,
2890,154,
2900,158.5,
2910,163,
2920,167.75,
2925,170.25,
2930,172.75,
2940,177.75,
2950,183,
2960,188.5,
2970,194,
2975,197,
2980,200,
2990,206,
3000,212,
3010,218.5,
3020,225,
3025,228.25,
3030,231.75,
3040,238.75,
3050,246,
3060,253.25,
3070,260.75,
3075,264.5,
3080,268.5,
3090,276.25,
3100,284.25,
3110,292.5,
3120,301,
3125,305.25,
3130,309.5,
3140,318.25,
3150,327.25,
3160,336.25,
3170,345.5,
3175,350,
3180,354.5,
3190,364,
3200,373.25,
3210,382.75,
3220,392.25,
3225,397,
3230,401.75,
3240,411.5,
3250,421,
3260,430.75,
3270,440.5,
3275,445.5,
3280,450.5,
3290,460.25,
3300,470,
3310,480,
3320,489.75,
3325,494.75,
3330,499.75,
3340,509.5,
3350,519.5,
3360,529.5,
3370,539.5,
3375,544.5,
3380,549.5,
3390,559.5,
3400,569.5,
3410,579.5,
3420,589.5,
3425,594.5,
3430,599.5,
3440,609.5,
3450,619.5,
3460,629.5,
3470,639.5,
3475,644.5,
3480,649.5,
3490,659.5,
3500,669.5,
3510,679.5,
3520,689.5,
3525,694.5,
3530,699.5,
3540,709.5,
3550,719.5,
3575,744.5,
3600,769.5,
3625,794.5,
3650,819.5,
3675,844.5,
3700,869.5,
3725,894.5,
3750,919.5,
3775,944.5,
3800,969.5,
3825,994.5,
3850,1019.5,
3875,1044.5,
3900,1069.5,
3925,1094.5,
3950,1119.5,
3975,1144.5,
4000,1169.5,
4025,1194.5,
4050,1219.5,
4075,1244.5,
4100,1269.5,
4125,1294.5,
4150,1319.5,
4175,1344.5,
4200,1369.5,
4225,1394.5,
4250,1419.5,
4275,1444.5,
4300,1469.5,
4325,1494.5,
4350,1519.5,
4375,1544.5,
4400,1569.5,
4425,1594.5,
