strike,settle,future
100,2730,2830
1050,1780,
1075,1755,
1100,1730,
1125,1705,
1150,1680,
1175,1655,
1200,1630,
1225,1605,
1250,1580,
1275,1555,
1300,1530,
1325,1505,
1350,1480,
1375,1455,
1400,1430,
1425,1405,
1450,1380,
1475,1355,
1500,1330,
1525,1305,
1550,1280,
1575,1255,
1600,1230,
1625,1205,
1650,1180,
1675,1155,
1700,1130,
1725,1105,
1750,1080,
1775,1055,
1800,1030,
1825,1005,
1850,980,
1860,970,
1870,960,
1875,955,
1880,950,
1890,940.25,
1900,930.25,
1910,920.25,
1920,910.25,
1925,905.25,
1930,900.25,
1940,890.25,
1950,880.25,
1960,870.25,
1970,860.5,
1975,855.5,
1980,850.5,
1990,840.5,
2000,830.5,
2010,820.5,
2020,810.5,
2025,805.5,
2030,800.75,
2040,790.75,
2050,780.75,
2060,770.75,
2070,761,
2075,756,
2080,751,
2090,741,
2100,731,
2110,721.25,
2120,711.25,
2125,706.5,
2130,701.5,
2140,691.5,
2150,681.75,
2160,671.75,
2170,662,
2175,657,
2180,652,
2190,642.25,
2200,632.5,
2210,622.75,
2220,612.75,
2225,608,
2230,603,
2240,593.25,
2250,583.5,
2260,573.75,
2270,564,
2275,559,
2280,554.25,
2290,544.5,
2300,535,
2310,525.25,
2320,515.5,
2325,510.75,
2330,506,
2340,496.5,
2350,486.75,
2360,477.25,
2370,467.75,
2375,463,
2380,458.25,
2390,448.75,
2400,439.25,
2410,429.75,
2420,420.25,
2425,415.5,
2430,411,
2440,401.5,
2450,392,
2460,382.75,
2470,373.5,
2475,369,
2480,364.5,
2490,355.25,
2500,346,
2510,337,
2520,328,
2525,323.5,
2530,319,
2540,310,
2545,305.75,
2550,301.25,
2555,296.75,
2560,292.5,
2565,288,
2570,283.75,
2575,279.25,
2580,275,
2585,270.5,
2590,266.25,
2595,262,
2600,257.5,
2605,253.25,
2610,249,
2615,244.75,
2620,240.5,
2625,236.5,
2630,232.25,
2635,228.25,
2640,224,
2645,220,
2650,216,
2655,211.75,
2660,207.75,
2665,203.75,
2670,199.75,
2675,195.75,
2680,191.75,
2685,187.75,
2690,183.75,
2695,179.75,
2700,176,
2705,172,
2710,168.25,
2715,164.5,
2720,160.75,
2725,157,
2730,153.25,
2735,149.5,
2740,146,
2745,142.25,
2750,138.75,
2755,135,
2760,131.5,
2765,128,
2770,124.5,
2775,121,
2780,117.75,
2785,114.25,
2790,111,
2795,107.5,
2800,104.25,
2805,101,
2810,97.75,
2815,94.5,
2820,91.5,
2825,88.25,
2830,85.25,
2835,82,
2840,79,
2845,76,
2850,73,
2855,70,
2860,67.25,
2865,64.5,
2870,61.75,
2875,59,
2880,56.5,
2885,54,
2890,51.5,
2895,49,
2900,46.5,
2905,44,
2910,41.75,
2915,39.5,
2920,37.25,
2925,35,
2930,33,
2935,31,
2940,29,
2945,27,
2950,25.25,
2955,23.5,
2960,22,
2965,20.25,
2970,18.75,
2975,17.5,
2980,16,
2985,14.75,
2990,13.5,
2995,12.5,
3000,11.5,
3005,10.5,
3010,9.5,
3015,8.75,
3020,8,
3025,7.25,
3030,6.5,
3035,6,
3040,5.5,
3045,4.9,
3050,4.45,
3055,4,
3060,3.65,
3065,3.3,
3070,2.95,
3075,2.7,
3080,2.45,
3085,2.2,
3090,2,
3095,1.8,
3100,1.65,
3110,1.4,
3120,1.15,
3125,1.05,
3130,0.95,
3140,0.8,
3150,0.7,
3160,0.6,
3170,0.5,
3175,0.45,
3180,0.45,
3190,0.4,
3200,0.35,
3210,0.3,
3220,0.25,
3225,0.25,
3230,0.25,
3240,0.25,
3250,0.2,
3260,0.2,
3270,0.2,
3275,0.2,
3280,0.2,
3290,0.2,
3300,0.15,
3310,0.15,
3320,0.15,
3325,0.15,
3330,0.15,
3340,0.15,
3350,0.15,
3360,0.1,
3370,0.1,
3375,0.1,
3380,0.1,
3390,0.1,
3400,0.1,
3410,0.1,
3420,0.1,
3425,0.1,
3430,0.1,
3440,0.05,
3450,0.05,
3460,0.05,
3470,0.05,
3475,0.05,
3480,0.05,
3490,0.05,
3500,0.05,
3510,0.05,
3520,0.05,
3525,0.05,
3530,0.05,
3540,0.05,
3550,0.05,
3575,0.05,
3600,0.05,
3625,0.05,
3650,0.05,
