DATE,LIBOR
2014-11-24,0.32740
2014-11-25,0.32870
2014-11-26,0.33190
2014-11-27,0.32645
2014-11-28,0.32620
2014-12-01,0.32895
2014-12-02,0.32790
2014-12-03,0.32620
2014-12-04,0.32990
2014-12-05,0.33040
2014-12-08,0.33990
2014-12-09,0.33790
2014-12-10,0.33770
2014-12-11,0.33840
2014-12-12,0.34090
2014-12-15,0.34140
2014-12-16,0.33990
2014-12-17,0.34360
2014-12-18,0.34360
2014-12-19,0.35000
2014-12-22,0.35440
2014-12-23,0.35740
2014-12-24,0.35740
2014-12-25,0.35740
2014-12-26,0.35740
2014-12-29,0.35740
2014-12-30,0.35740
2014-12-31,0.36280
2015-01-01,0.36280
2015-01-02,0.36480
2015-01-05,0.36230
2015-01-06,0.36030
2015-01-07,0.36130
2015-01-08,0.36040
2015-01-09,0.36190
2015-01-12,0.35910
2015-01-13,0.35760
2015-01-14,0.35890
2015-01-15,0.35640
2015-01-16,0.35490
2015-01-19,0.35590
2015-01-20,0.35590
2015-01-21,0.35890
2015-01-22,0.35740
2015-01-23,0.35390
2015-01-26,0.35540
2015-01-27,0.35540
2015-01-28,0.35740
2015-01-29,0.35790
2015-01-30,0.35740
2015-02-02,0.35740
2015-02-03,0.35880
2015-02-04,0.36080
2015-02-05,0.36240
2015-02-06,0.36240
2015-02-09,0.37340
2015-02-10,0.37680
2015-02-11,0.37830
2015-02-12,0.37690
2015-02-13,0.38240
2015-02-16,0.38090
2015-02-17,0.38190
2015-02-18,0.38530
2015-02-19,0.38410
2015-02-20,0.38570
2015-02-23,0.38470
2015-02-24,0.38515
2015-02-25,0.38290
2015-02-26,0.37835
2015-02-27,0.38070
2015-03-02,0.38420
2015-03-03,0.38790
2015-03-04,0.39560
2015-03-05,0.39710
2015-03-06,0.39760
2015-03-09,0.40410
2015-03-10,0.40420
2015-03-11,0.40140
2015-03-12,0.40310
2015-03-13,0.40290
2015-03-16,0.40190
2015-03-17,0.40610
2015-03-18,0.40910
2015-03-19,0.39385
2015-03-20,0.39735
2015-03-23,0.39485
2015-03-24,0.39865
2015-03-25,0.39790
2015-03-26,0.40190
2015-03-27,0.40490
2015-03-30,0.40265
2015-03-31,0.40065
2015-04-01,0.40340
2015-04-02,0.40115
2015-04-03,0.40115
2015-04-06,0.40115
2015-04-07,0.39840
2015-04-08,0.39950
2015-04-09,0.40340
2015-04-10,0.40440
2015-04-13,0.40515
2015-04-14,0.40490
2015-04-15,0.40140
2015-04-16,0.40265
2015-04-17,0.40290
2015-04-20,0.40540
2015-04-21,0.40565
2015-04-22,0.40490
2015-04-23,0.40865
2015-04-24,0.40890
2015-04-27,0.40765
2015-04-28,0.40615
2015-04-29,0.40765
2015-04-30,0.40790
2015-05-01,0.41090
2015-05-04,0.41090
2015-05-05,0.41275
2015-05-06,0.41640
2015-05-07,0.41475
2015-05-08,0.41425
2015-05-11,0.41265
2015-05-12,0.41455
2015-05-13,0.41415
2015-05-14,0.41275
2015-05-15,0.41275
2015-05-18,0.41425
2015-05-19,0.41550
2015-05-20,0.41700
2015-05-21,0.41815
2015-05-22,0.41865
2015-05-25,0.41865
2015-05-26,0.42500
2015-05-27,0.42305
2015-05-28,0.42315
2015-05-29,0.42465
2015-06-01,0.42365
2015-06-02,0.42190
2015-06-03,0.42040
2015-06-04,0.42185
2015-06-05,0.42390
2015-06-08,0.43340
2015-06-09,0.43795
2015-06-10,0.44155
2015-06-11,0.44480
2015-06-12,0.44840
2015-06-15,0.44985
2015-06-16,0.45185
2015-06-17,0.45205
2015-06-18,0.44340
2015-06-19,0.44365
2015-06-22,0.44405
2015-06-23,0.44380
2015-06-24,0.44680
2015-06-25,0.44705
2015-06-26,0.44640
2015-06-29,0.44285
2015-06-30,0.44485
2015-07-01,0.44835
2015-07-02,0.45470
2015-07-03,0.44800
2015-07-06,0.44470
2015-07-07,0.44445
2015-07-08,0.44590
2015-07-09,0.44990
2015-07-10,0.45400
2015-07-13,0.46340
2015-07-14,0.46345
2015-07-15,0.46195
2015-07-16,0.45570
2015-07-17,0.46020
2015-07-20,0.46470
2015-07-21,0.47070
2015-07-22,0.46745
2015-07-23,0.46995
2015-07-24,0.46970
2015-07-27,0.46895
2015-07-28,0.47365
2015-07-29,0.47465
2015-07-30,0.47990
2015-07-31,0.48990
2015-08-03,0.48760
2015-08-04,0.48585
2015-08-05,0.50375
2015-08-06,0.50910
2015-08-07,0.51005
2015-08-10,0.51970
2015-08-11,0.51830
2015-08-12,0.50850
2015-08-13,0.51860
2015-08-14,0.52490
2015-08-17,0.52980
2015-08-18,0.52930
2015-08-19,0.53405
2015-08-20,0.53280
2015-08-21,0.52980
2015-08-24,0.52455
2015-08-25,0.52280
2015-08-26,0.52850
2015-08-27,0.53500
2015-08-28,0.53425
2015-08-31,0.53425
2015-09-01,0.54275
2015-09-02,0.53925
2015-09-03,0.53900
2015-09-04,0.53750
2015-09-07,0.54175
2015-09-08,0.53800
2015-09-09,0.53900
2015-09-10,0.54050
2015-09-11,0.54070
2015-09-14,0.54175
2015-09-15,0.54000
2015-09-16,0.54950
2015-09-17,0.55450
2015-09-18,0.52640
2015-09-21,0.52550
2015-09-22,0.52725
2015-09-23,0.52680
2015-09-24,0.52975
2015-09-25,0.53610
2015-09-28,0.53310
2015-09-29,0.53460
2015-09-30,0.53400
2015-10-01,0.53100
2015-10-02,0.53450
2015-10-05,0.52325
2015-10-06,0.52500
2015-10-07,0.52660
2015-10-08,0.52660
2015-10-09,0.52825
2015-10-12,0.52625
2015-10-13,0.52450
2015-10-14,0.52015
2015-10-15,0.51590
2015-10-16,0.51840
2015-10-19,0.51790
2015-10-20,0.52440
2015-10-21,0.52690
2015-10-22,0.52840
2015-10-23,0.52690
2015-10-26,0.53165
2015-10-27,0.53465
2015-10-28,0.53365
2015-10-29,0.54890
2015-10-30,0.55165
2015-11-02,0.55615
2015-11-03,0.55740
2015-11-04,0.56065
2015-11-05,0.57070
2015-11-06,0.57080
2015-11-09,0.59500
2015-11-10,0.59175
2015-11-11,0.59500
2015-11-12,0.60050
2015-11-13,0.60375
2015-11-16,0.60275
2015-11-17,0.60175
2015-11-18,0.60600
2015-11-19,0.61175
2015-11-20,0.61865
2015-11-23,0.63315
2015-11-24,0.64075
2015-11-25,0.64865
2015-11-26,0.65490
2015-11-27,0.65390
2015-11-30,0.65990
2015-12-01,0.66340
2015-12-02,0.66945
2015-12-03,0.68465
2015-12-04,0.69240
2015-12-07,0.71215
2015-12-08,0.72115
2015-12-09,0.72965
2015-12-10,0.73590
2015-12-11,0.74650
2015-12-14,0.74850
2015-12-15,0.75500
2015-12-16,0.76990
2015-12-17,0.79500
2015-12-18,0.80700
2015-12-21,0.81150
2015-12-22,0.81950
2015-12-23,0.82750
2015-12-24,0.82730
2015-12-25,0.82730
2015-12-28,0.82730
2015-12-29,0.83340
2015-12-30,0.84440
2015-12-31,0.84615
2016-01-01,0.84615
2016-01-04,0.84225
2016-01-05,0.85120
2016-01-06,0.85130
2016-01-07,0.84480
2016-01-08,0.85080
2016-01-11,0.85130
2016-01-12,0.85480
2016-01-13,0.85970
2016-01-14,0.85730
2016-01-15,0.84905
2016-01-18,0.85325
2016-01-19,0.85775
2016-01-20,0.85325
2016-01-21,0.85775
2016-01-22,0.86500
2016-01-25,0.86570
2016-01-26,0.86425
2016-01-27,0.86500
2016-01-28,0.86575
2016-01-29,0.86025
2016-02-01,0.86500
2016-02-02,0.86485
2016-02-03,0.86265
2016-02-04,0.86490
2016-02-05,0.86720
2016-02-08,0.87060
2016-02-09,0.86590
2016-02-10,0.86550
2016-02-11,0.85835
2016-02-12,0.85785
2016-02-15,0.86360
2016-02-16,0.86585
2016-02-17,0.86660
2016-02-18,0.87040
2016-02-19,0.86790
2016-02-22,0.88155
2016-02-23,0.88105
2016-02-24,0.87830
2016-02-25,0.88045
2016-02-26,0.88065
2016-02-29,0.88590
2016-03-01,0.88265
2016-03-02,0.88900
2016-03-03,0.89490
2016-03-04,0.89205
2016-03-07,0.90065
2016-03-08,0.89770
2016-03-09,0.89840
2016-03-10,0.90050
2016-03-11,0.90550
2016-03-14,0.91040
2016-03-15,0.91230
2016-03-16,0.91740
2016-03-17,0.88830
2016-03-18,0.89120
2016-03-21,0.89815
2016-03-22,0.90490
2016-03-23,0.91310
2016-03-24,0.91090
2016-03-25,0.91090
2016-03-28,0.91090
2016-03-29,0.91390
2016-03-30,0.89890
2016-03-31,0.89970
2016-04-01,0.90110
2016-04-04,0.90410
2016-04-05,0.89190
2016-04-06,0.89720
2016-04-07,0.89465
2016-04-08,0.89490
2016-04-11,0.89640
2016-04-12,0.89415
2016-04-13,0.89915
2016-04-14,0.90240
2016-04-15,0.90190
2016-04-18,0.90090
2016-04-19,0.90365
2016-04-20,0.90415
2016-04-21,0.91315
2016-04-22,0.90865
2016-04-25,0.91040
2016-04-26,0.91190
2016-04-27,0.91390
2016-04-28,0.90465
2016-04-29,0.90415
2016-05-02,0.90415
2016-05-03,0.90715
2016-05-04,0.90710
2016-05-05,0.90830
2016-05-06,0.90715
2016-05-09,0.90540
2016-05-10,0.90490
2016-05-11,0.90490
2016-05-12,0.90665
2016-05-13,0.90690
2016-05-16,0.90640
2016-05-17,0.91160
2016-05-18,0.93085
2016-05-19,0.95710
2016-05-20,0.95540
2016-05-23,0.95790
2016-05-24,0.96815
2016-05-25,0.97560
2016-05-26,0.97710
2016-05-27,0.97810
