,ES,NQ,CD,EC,JY,MP,TY,US,C,S,W,CL,GC
CD_1M_Fly25,,,0.02242808645935503,,,,,,,,,,
CD_1M_RR25,,,0.02369797792225324,,,,,,,,,,
CD_1M_atm_vol,,,0.09235382588259539,,,,,,,,,,
CD_2M_1M_atm_vol,,,0.08728125794214647,,,,,,,,,,
CD_2M_Fly25,,,0.06462743480113978,,,,,,,,,,
CD_2M_RR25,,,0.02518640753873601,,,,,,,,,,
CD_daily_tweet,,,0.05168608924903483,,,,,,,,,,
CD_max_tweet,,,0.011511313411174881,,,,,,,,,,
CD_min_tweet,,,0.010200794653594965,,,,,,,,,,
CD_opening_down,,,0.0057556567055874405,,,,,,,,,,
CD_opening_unch,,,0.0,,,,,,,,,,
CD_opening_up,,,0.0,,,,,,,,,,
CD_volume_chg,,,0.04529119270950594,,,,,,,,,,
CL_1M_Fly25,,,,,,,,,,,,0.05123929641786785,
CL_1M_RR25,,,,,,,,,,,,0.04663994676401638,
CL_1M_atm_vol,,,,,,,,,,,,0.0,
CL_2M_1M_atm_vol,,,,,,,,,,,,0.060623192768755926,
CL_2M_Fly25,,,,,,,,,,,,0.018158924408924408,
CL_2M_RR25,,,,,,,,,,,,0.0815985502934951,
CL_daily_tweet,,,,,,,,,,,,0.009297369297369296,
CL_max_tweet,,,,,,,,,,,,0.020247220456486865,
CL_min_tweet,,,,,,,,,,,,0.02153074995180258,
CL_opening_down,,,,,,,,,,,,0.013946053946053947,
CL_opening_unch,,,,,,,,,,,,0.009722739134503838,
CL_opening_up,,,,,,,,,,,,0.0,
CL_volume_chg,,,,,,,,,,,,0.05550213937934621,
C_1M_Fly25,,,,,,,,,0.07539347013465252,,,,
C_1M_RR25,,,,,,,,,0.04073392379376428,,,,
C_1M_atm_vol,,,,,,,,,0.03279760334790061,,,,
C_2M_1M_atm_vol,,,,,,,,,0.008596059113300492,,,,
C_2M_Fly25,,,,,,,,,0.029725751182119963,,,,
C_2M_RR25,,,,,,,,,0.12723829791319236,,,,
C_daily_tweet,,,,,,,,,0.0,,,,
C_down_diff_5,,,,,,,,,0.016300675059295753,,,,
C_down_gamma_5,,,,,,,,,0.027361847420960712,,,,
C_max_tweet,,,,,,,,,0.05927605956705615,,,,
C_min_tweet,,,,,,,,,0.011721898790864304,,,,
C_opening_down,,,,,,,,,0.0,,,,
C_opening_unch,,,,,,,,,0.0,,,,
C_opening_up,,,,,,,,,0.0,,,,
C_up_diff_5,,,,,,,,,0.0350528188286809,,,,
C_up_gamma_5,,,,,,,,,0.017327231325309687,,,,
C_volume_chg,,,,,,,,,0.10038470614218017,,,,
EC_1M_Fly25,,,,0.12471949761004772,,,,,,,,,
EC_1M_RR25,,,,0.0226808830663386,,,,,,,,,
EC_1M_atm_vol,,,,0.051802308904438044,,,,,,,,,
EC_2M_1M_atm_vol,,,,0.05144365345627385,,,,,,,,,
EC_2M_Fly25,,,,0.034167926791859406,,,,,,,,,
EC_2M_RR25,,,,0.008601708839960564,,,,,,,,,
EC_daily_tweet,,,,0.007645963413298279,,,,,,,,,
EC_max_tweet,,,,0.0,,,,,,,,,
EC_min_tweet,,,,0.011684422270685828,,,,,,,,,
EC_opening_down,,,,0.0,,,,,,,,,
EC_opening_unch,,,,0.009610185048783542,,,,,,,,,
EC_opening_up,,,,0.0,,,,,,,,,
EC_volume_chg,,,,0.09922379717572538,,,,,,,,,
ES_1M_Fly25,0.04750159997821032,,,,,,,,,,,,
ES_1M_RR25,0.03166179038806105,,,,,,,,,,,,
ES_1M_atm_vol,0.03698342843301014,,,,,,,,,,,,
ES_2M_1M_atm_vol,0.05043555934401748,,,,,,,,,,,,
ES_2M_Fly25,0.05834454532311501,,,,,,,,,,,,
ES_2M_RR25,0.04072976194837798,,,,,,,,,,,,
ES_daily_tweet,0.06713478169888173,,,,,,,,,,,,
ES_max_tweet,0.0,,,,,,,,,,,,
ES_min_tweet,0.024497488234668054,,,,,,,,,,,,
ES_opening_down,0.0,,,,,,,,,,,,
ES_opening_unch,0.0,,,,,,,,,,,,
ES_opening_up,0.007915447597015263,,,,,,,,,,,,
ES_volume_chg,0.05112110724636282,,,,,,,,,,,,
GC_1M_Fly25,,,,,,,,,,,,,0.055169421876738935
GC_1M_RR25,,,,,,,,,,,,,0.02567946570816011
GC_1M_atm_vol,,,,,,,,,,,,,0.049991668688109024
GC_2M_1M_atm_vol,,,,,,,,,,,,,0.032047464843932456
GC_2M_Fly25,,,,,,,,,,,,,0.10738460102027172
GC_2M_RR25,,,,,,,,,,,,,0.05641194879078783
GC_daily_tweet,,,,,,,,,,,,,0.010830832266987217
GC_max_tweet,,,,,,,,,,,,,0.05897610381662553
GC_min_tweet,,,,,,,,,,,,,0.04734869808341634
GC_opening_down,,,,,,,,,,,,,0.0
GC_opening_unch,,,,,,,,,,,,,0.0
GC_opening_up,,,,,,,,,,,,,0.0
GC_volume_chg,,,,,,,,,,,,,0.07828015777728553
JY_1M_Fly25,,,,,0.06426032882186332,,,,,,,,
