"I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,02-28-2017 02:43:03"
"GOP now viewed more favorably than Dems in Trump era (per NBC/WSJ poll) via @HotlineJosh:https://t.co/Soebxtg2Zd,02-27-2017 21:48:21"
"Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… https://t.co/60jigi6ffS,02-27-2017 17:06:23"
"Big dinner with Governors tonight at White House. Much to be discussed including healthcare.,02-26-2017 20:13:52"
"Russia talk is FAKE NEWS put out by the Dems and played up by the media in order to mask the big election defeat and the illegal leaks!,02-26-2017 18:16:41"
"For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!,02-26-2017 11:42:39"
"The race for DNC Chairman was of course totally ""rigged."" Bernie's guy like Bernie himself never had a chance. Clinton demanded Perez!,02-26-2017 11:33:16"
"Congratulations to Thomas Perez who has just been named Chairman of the DNC. I could not be happier for him or for the Republican Party!,02-25-2017 22:02:22"
"I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!,02-25-2017 21:53:21"
"Weekly Address from @WhiteHouse: https://t.co/uaoQSHBOQB https://t.co/7eF6aC6kEC,02-25-2017 18:12:25"
"Great optimism for future of U.S. business AND JOBS with the DOW having an 11th straight record close. Big tax &amp; regulation cuts coming!,02-25-2017 13:27:04"
"The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.,02-25-2017 13:19:18"
"Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!,02-25-2017 12:25:24"
"FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!,02-25-2017 03:09:18"
"Trump vows to fight 'epidemic' of human trafficking https://t.co/oDLZ2NdrtA,02-24-2017 17:04:19"
"Going to CPAC!,02-24-2017 13:49:27"
"find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW,02-24-2017 12:36:34"
"The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can't even......,02-24-2017 12:31:49"
"Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!,02-24-2017 00:06:44"
"Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!,02-24-2017 00:01:40"
