date,S_up_gamma,S_up_gamma_5,S_down_gamma,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2016-09-21,21281.915583677255,34465.71007140238,22955.42905107867,39120.52904557022,13183.794487725128,16165.09999449155
2016-09-22,24363.40918296717,37548.504509092076,23053.560904621194,38822.63752851547,13185.095326124905,15769.076623894278
2016-09-23,16074.574467659519,29833.167794257628,22494.59464225205,39086.79621592904,13758.59332659811,16592.20157367699
2016-09-26,23478.993483532005,39720.84281246581,19206.103056377247,33082.313487347594,16241.849328933804,13876.210430970346
2016-09-27,22043.82778020603,38721.7811468552,21561.61347489654,34020.34194486566,16677.953366649173,12458.728469969115
2016-09-28,20941.411071608483,37919.07461726542,20981.53592292158,34176.99847430116,16977.663545656935,13195.46255137958
2016-09-29,20978.117857025372,37984.20142194961,21032.1080157994,34255.603709675284,17006.08356492424,13223.495693875884
2016-09-30,21173.882856168537,37966.023104859145,20554.10527544827,35248.25106334583,16792.140248690608,14694.14578789756
2016-10-04,19831.83307230437,34042.43437629459,24539.05371636967,44023.36488255532,14210.601303990217,19484.311166185646
2016-10-05,19406.94418637343,34901.36721537198,20249.89623928038,37207.79505135797,15494.423028998553,16957.89881207759
2016-10-06,17411.579130922022,34238.89351099219,21488.980757939993,37803.515273198944,16827.314380070165,16314.53451525895
2016-10-07,19615.133534177912,36824.5125827435,22405.762627441247,40293.16273917227,17209.379048565585,17887.400111731025
2016-10-11,20345.836065572636,36943.481286550224,21180.1601483647,39274.54855190281,16597.64522097759,18094.38840353811
2016-10-13,17543.95992862149,39683.43651624611,16312.502542585537,35816.30644604476,22139.47658762462,19503.803903459222
2016-10-14,15051.255496847045,36551.85642360425,14499.811028816926,35764.52622613146,21500.600926757208,21264.71519731453
2016-10-17,16160.42628465405,36089.513109663545,12300.395386366321,33383.958629770445,19929.086825009494,21083.563243404125
2016-10-18,10736.676750618753,23337.04236724037,15492.126859744683,38441.99788824544,12600.365616621617,22949.871028500755
2016-10-19,12242.2356299179,24987.154350840436,13077.754162322952,36509.64108011004,12744.918720922537,23431.88691778709
2016-10-20,9481.857362557708,19963.687189040706,12497.900135333932,36564.28915334053,10481.829826482997,24066.389018006594
2016-10-21,12273.895247278751,22985.48995854651,10542.964617599917,31158.19900874388,10711.594711267759,20615.23439114396
2016-10-24,9927.308314576894,12853.516954876704,9287.420853535885,13636.125156703061,2926.20864029981,4348.7043031671765
2016-10-26,10012.677538915716,13044.628252702245,9507.649313659318,15183.694245195144,3031.9507137865294,5676.0449315358255
2016-10-27,8620.685246208504,10933.970030458515,12735.29646819816,20533.626535025534,2313.2847842500105,7798.330066827375
2016-10-28,10482.797579763617,13234.067755681548,14012.977578189573,21439.638753502204,2751.270175917931,7426.661175312631
2016-10-31,10781.209528720507,13596.361467151963,14154.571580607522,21654.831925993276,2815.151938431456,7500.260345385754
2016-11-01,10695.488444797274,13469.482099213865,15066.991451328608,22734.323970272068,2773.9936544165903,7667.33251894346
2016-11-02,11706.70611013597,15317.848982841802,13428.107193773976,19136.031655639632,3611.142872705832,5707.924461865656
2016-11-03,11256.615232861624,15394.983385668054,13351.459543571496,18529.580063359,4138.36815280643,5178.120519787504
2016-11-04,10349.086356253396,13781.913900675232,13225.710111157452,18755.267309828763,3432.827544421836,5529.557198671311
2016-11-07,11185.676343751142,14745.108977213577,14222.476431246667,20902.186420013895,3559.4326334624348,6679.709988767228
2016-11-08,11305.9991408401,15414.171395560317,14782.72346838799,22239.75014767647,4108.172254720217,7457.0266792884795
2016-11-09,11328.50479313314,14788.105086520627,16371.360139152224,25222.47692410358,3459.600293387488,8851.116784951355
2016-11-10,12280.038497864583,16635.66292034614,15173.444203923946,22067.227652222606,4355.624422481558,6893.78344829866
2016-11-11,12008.24234698233,16376.644871421464,15907.327008796532,23977.23436308253,4368.402524439134,8069.907354285999
2016-11-14,13521.543932136152,18450.028439311598,17261.024782679302,24290.551217800246,4928.484507175446,7029.526435120944
2016-11-15,16987.339522971713,25892.11495291089,18317.42886631393,29882.96697276676,8904.775429939178,11565.53810645283
2016-11-16,14733.66459158609,23140.678445559326,18899.501933730695,32911.00148654533,8407.013853973236,14011.499552814632
2016-11-17,15101.202156349304,24675.35772692842,17543.110520644033,31012.991853755437,9574.155570579118,13469.881333111403
2016-11-18,15159.308432048218,24265.87115338896,17371.330548304762,31584.189978571685,9106.56272134074,14212.859430266923
2016-11-21,15769.830134678816,24982.130802296193,15037.19412354072,29234.3722455997,9212.300667617377,14197.178122058982
2016-11-22,11003.41808315803,16243.183838648012,19700.055562137575,39737.26234166128,5239.7657554899815,20037.2067795237
2016-11-24,9716.66621798906,13888.014039103464,20691.283110680466,40246.1627026347,4171.347821114403,19554.87959195423
2016-11-25,9192.810111905352,12371.944274463556,19795.77251929976,34772.33368391105,3179.1341625582045,14976.561164611288
2016-11-28,9612.250446565413,12532.59354059896,19248.260331522924,35758.75068351571,2920.3430940335475,16510.490351992787
2016-11-29,9676.527890190044,12184.576628180122,19217.970675076078,35914.55337755077,2508.0487379900787,16696.582702474694
2016-11-30,13599.500732188264,17182.852544602618,22846.523157224234,38149.17762740789,3583.351812414354,15302.654470183654
2016-12-01,13566.965965284187,18250.658096447703,21787.624018074992,37309.65087186395,4683.692131163516,15522.02685378896
2016-12-02,12769.398869364386,17757.37461630327,20799.620580183924,36529.81668281969,4987.975746938884,15730.196102635768
2016-12-05,12419.11397136032,17950.253136777363,20392.982877653954,36331.75672390737,5531.139165417042,15938.773846253414
2016-12-06,13127.755566982189,17389.770323553577,18065.874775844357,36282.47297096512,4262.014756571389,18216.598195120765
2016-12-07,11163.626069058893,15098.63182003711,19230.4459751553,37726.202868436965,3935.0057509782164,18495.756893281665
2016-12-08,11138.678399927427,15093.194999280633,18678.347996778637,37511.95731448594,3954.5165993532064,18833.6093177073
