,name,symbol,date,open,high,low,settle,volume
472,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-16,123.125,123.125,122.8125,122.859375,910514
473,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-17,122.921875,123.03125,122.5,122.921875,1042810
474,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-18,122.875,122.96875,122.609375,122.84375,861285
475,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-19,122.796875,123.078125,122.734375,122.96875,939993
476,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-20,122.921875,123.140625,122.828125,122.859375,916842
477,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-23,122.828125,123.078125,122.5625,123.0,1634909
478,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-24,123.046875,123.375,122.953125,123.09375,2317561
479,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-25,123.109375,123.265625,122.953125,123.125,1236743
480,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-27,123.046875,123.359375,123.03125,123.234375,531192
481,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-11-30,123.234375,123.3125,123.0,123.171875,901325
482,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-01,123.234375,123.8125,122.96875,123.6875,1151720
483,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-02,123.75,123.75,123.234375,123.453125,990458
484,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-03,123.40625,123.453125,122.078125,122.28125,2911801
485,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-04,122.40625,122.796875,122.015625,122.65625,1570743
486,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-07,122.609375,123.21875,122.515625,123.078125,857816
487,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-08,123.046875,123.34375,122.921875,123.0625,975129
488,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-09,123.171875,123.5,122.84375,123.40625,1105902
489,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-10,123.28125,123.4375,123.03125,123.0625,1477094
490,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-11,123.046875,124.046875,123.015625,123.890625,2449601
491,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-14,123.875,123.921875,123.109375,123.15625,2043433
492,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-15,122.84375,123.328125,122.640625,122.84375,894872
493,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-16,122.84375,122.90625,122.125,122.484375,969726
494,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-17,122.421875,122.984375,122.390625,122.859375,911860
495,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-18,123.0,123.390625,122.921875,123.21875,739713
496,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-21,123.15625,123.484375,123.0,123.296875,522042
497,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-22,123.25,123.390625,122.890625,122.90625,476188
498,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-23,122.96875,122.96875,122.625,122.734375,432271
499,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-24,122.78125,122.921875,122.6875,122.90625,157250
500,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-28,122.828125,123.140625,122.75,123.0,311296
501,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-29,122.984375,123.0625,122.28125,122.390625,556325
502,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-30,122.34375,122.53125,122.171875,122.34375,656599
503,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2015-12-31,122.640625,122.71875,122.359375,122.640625,434947
504,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-04,122.609375,123.296875,122.5,122.890625,1051368
505,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-05,122.890625,123.171875,122.75,122.984375,879634
506,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-06,123.046875,123.65625,122.96875,123.59375,1129577
507,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-07,123.578125,124.046875,123.40625,123.84375,1393443
508,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-08,123.875,124.296875,123.3125,124.140625,3170360
509,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-11,124.265625,124.453125,123.796875,124.09375,1079103
510,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-12,123.9375,124.734375,123.71875,124.5625,1367067
511,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-13,124.46875,125.0,124.15625,124.796875,3068390
512,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-14,124.5625,124.953125,124.359375,124.5625,1486825
513,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-15,125.1875,125.640625,124.546875,125.1875,3625012
514,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-19,125.234375,125.328125,124.75,125.125,1513710
515,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-20,125.0,125.984375,124.984375,125.609375,3852242
516,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-21,125.59375,125.90625,125.234375,125.40625,1749181
517,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-22,125.296875,125.46875,124.8125,125.109375,1175624
518,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-25,125.046875,125.46875,124.8125,125.28125,827307
519,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-26,125.546875,125.8125,125.234375,125.546875,1031294
520,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-27,125.515625,125.671875,125.046875,125.59375,1082826
521,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-28,125.609375,125.828125,125.265625,125.765625,1583237
522,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-01-29,125.796875,126.421875,125.703125,126.3125,1586957
523,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-01,126.328125,126.53125,125.890625,125.90625,1194705
524,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-02,126.015625,126.90625,126.0,126.828125,1367823
525,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-03,126.921875,127.484375,126.546875,126.75,3872106
526,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-04,127.0,127.109375,126.578125,127.0,1607997
527,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-05,127.171875,127.421875,126.65625,127.09375,1784074
528,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-08,127.078125,128.046875,126.90625,128.03125,1563716
529,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-09,127.921875,128.484375,127.75,128.046875,1993045
530,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-10,128.015625,128.5,127.640625,128.234375,1781823
531,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-11,128.484375,129.78125,128.40625,128.765625,2468876
532,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-12,128.578125,128.734375,127.6875,127.796875,1666106
533,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-16,127.71875,127.890625,127.359375,127.640625,3011037
534,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-17,127.171875,127.9375,126.921875,127.171875,1416945
535,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-18,127.171875,127.828125,127.046875,127.65625,1284522
536,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-19,127.828125,128.015625,127.375,127.640625,1267547
537,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-22,127.59375,127.671875,127.296875,127.515625,1227088
538,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-23,127.59375,127.90625,127.09375,127.671875,2402039
539,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-24,127.859375,128.53125,127.625,127.734375,2530539
540,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-25,127.671875,128.34375,127.546875,128.203125,1479567
541,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-26,128.015625,128.015625,127.3125,127.484375,1179882
542,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-02-29,127.5,127.71875,127.375,127.625,2354236
543,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-01,127.65625,127.953125,126.671875,126.703125,1496051
544,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-02,126.71875,126.890625,126.296875,126.453125,1392114
545,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-03,126.515625,126.75,126.3125,126.625,1080134
546,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-04,126.53125,126.765625,126.03125,126.203125,1524225
547,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-07,126.296875,126.34375,125.9375,126.03125,843118
548,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-08,126.0625,126.8125,126.015625,126.609375,1107923
549,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-09,126.625,126.6875,126.109375,126.171875,1036884
550,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-10,126.296875,126.5,125.59375,125.75,1661162
551,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-11,125.734375,125.859375,125.3125,125.453125,1063898
552,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-14,125.453125,125.71875,125.34375,125.53125,1411484
553,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-15,125.53125,125.921875,125.40625,125.515625,893117
554,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-16,125.4375,126.1875,125.15625,125.953125,1273806
555,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-17,126.140625,126.640625,126.109375,126.21875,1217992
556,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-18,126.21875,126.578125,126.203125,126.515625,909878
557,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-21,126.5,126.578125,126.109375,126.125,754097
558,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-22,126.125,126.484375,125.8125,125.90625,1015630
559,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-23,125.84375,126.46875,125.75,126.4375,851948
560,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-24,126.375,126.578125,126.078125,126.328125,705130
561,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-28,126.265625,126.578125,126.078125,126.515625,417002
562,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-29,126.390625,127.203125,126.3125,127.109375,1017088
563,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-30,127.140625,127.21875,126.8125,127.125,1071211
564,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-03-31,127.15625,127.640625,127.0625,127.5,1095434
565,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-01,127.59375,127.609375,127.171875,127.40625,1250646
566,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-04,127.578125,127.75,127.421875,127.578125,719276
567,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-05,127.703125,128.078125,127.671875,127.9375,960083
568,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-06,127.96875,128.015625,127.625,127.796875,922150
569,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-07,127.78125,128.40625,127.6875,128.359375,991933
570,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-08,128.34375,128.375,127.953125,128.140625,763578
571,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-11,128.1875,128.328125,127.875,128.140625,785075
572,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-12,128.09375,128.140625,127.609375,127.65625,954643
573,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-13,127.640625,127.828125,127.46875,127.734375,1039111
574,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-14,127.71875,127.8125,127.3125,127.484375,1045696
575,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-15,127.40625,127.84375,127.3125,127.75,787091
576,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-18,127.96875,128.0,127.484375,127.609375,884589
577,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-19,127.609375,127.609375,127.3125,127.46875,993238
578,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-20,127.4375,127.703125,126.8125,126.859375,1260325
579,CBOT 10-year US Treasury Note Futures #1 (TY1),TY,2016-04-21,126.921875,127.015625,126.5625,126.71875,1337757
