,0,ret_5
2018-12-21 09:08:00-06:00,b'The Democrats now own the shutdown!',-0.012186524322691107
2019-08-13 08:39:00-05:00,b'Thank you Steve! https://t.co/4qwvkUTg5t',-0.009661002328991633
2018-12-20 13:23:00-06:00,b'So hard to believe that Lindsey Graham would be against saving soldier lives &amp; billions of $$$. Why are we fighting\\u2026 https://t.co/sSaZhZ3QAs',-0.009448338921060652
2018-12-20 13:17:00-06:00,b'Congress just passed the Criminal Justice Reform Bill known as the #FirstStepAct. Congratulations! This is a great\\u2026 https://t.co/6xsZmz5GJM',-0.007210317863308622
2018-12-27 13:42:00-06:00,"b'The Democrats OBSTRUCTION of the desperately needed Wall, where they almost all recently agreed it should be built,\\u2026 https://t.co/M8uUV6Ebhu'",-0.00629514963880289
2019-09-24 13:13:00-05:00,"b'I am currently at the United Nations representing our Country, but have authorized the release tomorrow of the comp\\u2026 https://t.co/DzNVru4Bua'b'....You will see it was a very friendly and totally appropriate call. No pressure and, unlike Joe Biden and his son\\u2026 https://t.co/Tfrm47brud'",-0.006083136194660358
2018-12-24 09:34:00-06:00,b'AMERICA IS RESPECTED AGAIN!',-0.005835156819839533
2019-06-18 08:40:00-05:00,b'Had a very good telephone conversation with President Xi of China. We will be having an extended meeting next week\\u2026 https://t.co/6clvoT1GwT',-0.0058309037900874635
2018-05-03 11:28:00-05:00,"b'Today, it was my great honor to celebrate the #NationalDayOfPrayer at the @WhiteHouse, in the Rose Garden! Proclama\\u2026 https://t.co/f4bx98Wcho'",-0.005332317653780233
2018-12-24 09:24:00-06:00,"b'For all of the sympathizers out there of Brett McGurk remember, he was the Obama appointee who was responsible for\\u2026 https://t.co/YT4ZsN1lKq'",-0.005217572785140353
2019-08-26 14:50:00-05:00,b'I agree 100%! https://t.co/qteDIrgG9S',-0.005138030131498737
2018-12-26 14:36:00-06:00,b'.@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A\\u2026 https://t.co/SLe2tXnMLl',-0.005103603143819537
2019-05-10 14:15:00-05:00,"b'Over the course of the past two days, the United States and China have held candid and constructive conversations o\\u2026 https://t.co/GG1xqbzrW7'b'....into the future will continue. In the meantime, the United States has imposed Tariffs on China, which may or ma\\u2026 https://t.co/PvdPCOtGmY'",-0.005028175119202428
2019-08-26 14:52:00-05:00,b'Thank you Mark! https://t.co/doRfNAx2Ez',-0.004962995211144972
2019-10-04 07:17:00-05:00,"b'As President I have an obligation to end CORRUPTION, even if that means requesting the help of a foreign country or\\u2026 https://t.co/VtIoWfGv91'",-0.004653968801172111
2019-08-02 10:06:00-05:00,"b'Kim Jong Un and North Korea tested 3 short range missiles over the last number of days. These missiles tests are no\\u2026 https://t.co/anL3BsX2f6'b'.....Chairman Kim does not want to disappoint me with a violation of trust, there is far too much for North Korea t\\u2026 https://t.co/TjKmKTYyav'b'....Chariman Kim has a great and beautiful vision for his country, and only the United States, with me as President\\u2026 https://t.co/Nn56xpzKr2'",-0.004543116749528544
2019-09-11 18:18:00-05:00,"b""At the request of the Vice Premier of China, Liu He, and due to the fact that the People's Republic of China will b\\u2026 https://t.co/s26kTMqEJk""b'....on October 1st, we have agreed, as a gesture of good will, to move the increased Tariffs on 250 Billion Dollars\\u2026 https://t.co/XCQTj5ttxP'",-0.0044943820224719105
2019-05-06 08:31:00-05:00,b'Scott Walker is 100% correct when he says that the Republicans must WAKE UP to the Democrats State by State power g\\u2026 https://t.co/ifjuKRBCni',-0.004476969436074042
2018-02-06 07:33:00-06:00,b'So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of m\\u2026 https://t.co/r8vqtb4Tjb',-0.004408241494968855
2019-01-04 08:40:00-06:00,b'GREAT JOBS NUMBERS JUST ANNOUNCED!',-0.004404404404404405
2019-01-03 10:11:00-06:00,b'https://t.co/JzfXMAPwKP',-0.004251442453689645
2018-12-19 08:45:00-06:00,"b'The Trump Foundation has done great work and given away lots of money, both mine and others, to great charities ove\\u2026 https://t.co/BHD3TbvKK6'",-0.004185322172474207
2018-10-30 12:39:00-05:00,"b'Congressman @KevinYoder has fought hard for the People of Kansas. Highly respected, strong on Crime, the Border, Mi\\u2026 https://t.co/GQ4nVuonIF'",-0.004139618026154859
